ID,CueType,DurationF,Duration_ms,short_duration,median,lower,upper,p_gt_0,p_lt_0,p_in_rope
AQ,NR,50ms,50,TRUE,0.6215282804124573,-5.999821749659131,7.435141324786812,0.574375,0.425625,0.614125
AQ,NR,100ms,100,TRUE,4.939542366870068,-1.759180596264419,11.507865167793888,0.927375,0.072625,0.271125
AQ,NR,150ms,150,TRUE,4.186553921004207,-4.649690093685905,12.726498334637888,0.82525,0.17475,0.341875
AQ,NR,200ms,200,FALSE,6.3816665315449015,-4.033115266818322,15.347883838692592,0.888875,0.111125,0.215375
AQ,NR,250ms,250,FALSE,11.783914068868166,4.002630256023171,19.747153804421057,0.9985,0.0015,0.012875
AQ,NR,300ms,300,FALSE,4.496223667958418,-2.9324950767005817,11.025775255011085,0.894875,0.105125,0.306625
AQ,NR,350ms,350,FALSE,4.407024922968505,-3.1480208421583016,11.310004074063235,0.88475,0.11525,0.31725
AQ,R,50ms,50,TRUE,0.931645907779016,-3.98900940723257,5.875065349610945,0.6425,0.3575,0.733625
AQ,R,100ms,100,TRUE,4.393026417839655,-0.8263968216221581,9.512849947116642,0.949625,0.050375,0.283875
AQ,R,150ms,150,TRUE,3.466094585608949,-1.4608381962356625,8.406708701401211,0.9155,0.0845,0.417875
AQ,R,200ms,200,FALSE,6.255091324992328,1.0367570703231812,11.786510377631796,0.99025,0.00975,0.108875
AQ,R,250ms,250,FALSE,2.125582810455615,-2.5641394239305737,6.792838519010411,0.816625,0.183375,0.621125
AQ,R,300ms,300,FALSE,0.3352728859731897,-4.83893842383253,5.438572708379599,0.55125,0.44875,0.746
AQ,R,350ms,350,FALSE,4.532822249313604,-0.7637610163320203,9.968748964053377,0.95225,0.04775,0.2885
HC,NR,50ms,50,TRUE,0.11527120016214276,-5.844431002316272,5.844704349753446,0.51525,0.48475,0.693875
HC,NR,100ms,100,TRUE,-6.173044488272804,-13.143982442361688,1.1376449074680148,0.049,0.951,0.184625
HC,NR,150ms,150,TRUE,6.518501263917198,-0.8020250370717238,13.436184419221709,0.960625,0.039375,0.156875
HC,NR,200ms,200,FALSE,2.494876958841396,-6.282079216597961,10.949164305627264,0.7195,0.2805,0.434125
HC,NR,250ms,250,FALSE,-3.4701890902729424,-10.314159408864635,3.3526802935558737,0.1605,0.8395,0.416125
HC,NR,300ms,300,FALSE,-3.5081445081518927,-9.358321691653384,2.447082121094365,0.118375,0.881625,0.415625
HC,NR,350ms,350,FALSE,-9.675113598407645,-18.19984486429902,-1.2677882334788793,0.011875,0.988125,0.058
HC,R,50ms,50,TRUE,-0.5710541292958053,-6.659671146326453,5.127185152787367,0.41975,0.58025,0.672875
HC,R,100ms,100,TRUE,4.342971795429358,-1.6361218526778172,10.622536401449413,0.922625,0.077375,0.316875
HC,R,150ms,150,TRUE,-1.0691973477656669,-7.03540883563638,5.1637371005216455,0.367,0.633,0.641625
HC,R,200ms,200,FALSE,2.5056588200859036,-3.3573255390092394,8.492693921206845,0.79825,0.20175,0.527875
HC,R,250ms,250,FALSE,-5.519352991903512,-11.070039831131197,0.19088209154150818,0.02925,0.97075,0.19125
HC,R,300ms,300,FALSE,0.32057432703792266,-5.204209729987119,5.935776671368191,0.54825,0.45175,0.708375
HC,R,350ms,350,FALSE,-4.070283787865179,-9.798478049789338,1.7162255604395,0.080375,0.919625,0.3485
YILIU,NR,50ms,50,TRUE,-1.432546720677455,-7.203595659188808,3.793492578581615,0.302,0.698,0.66475
YILIU,NR,100ms,100,TRUE,-0.5914200966245344,-6.495085111384899,4.929328901708532,0.42,0.58,0.69325
YILIU,NR,150ms,150,TRUE,6.114771833525693,0.4285184415105654,11.824102796190239,0.984375,0.015625,0.138125
YILIU,NR,200ms,200,FALSE,-3.495112517112549,-9.604862167777007,3.4841870283617196,0.153125,0.846875,0.405375
YILIU,NR,250ms,250,FALSE,3.4776830273826302,-1.9763063241775873,8.868303511100716,0.89525,0.10475,0.416125
YILIU,NR,300ms,300,FALSE,-1.5121030623691576,-8.914485355952786,5.763876193434779,0.344375,0.655625,0.531625
YILIU,NR,350ms,350,FALSE,1.097623856569574,-4.6864051818892225,6.5597437534017695,0.640625,0.359375,0.66225
YILIU,R,50ms,50,TRUE,2.099788081029007,-1.476616322537514,5.634486930380664,0.88,0.12,0.68825
YILIU,R,100ms,100,TRUE,2.7498367950191582,-1.0783471332197427,6.816433887228125,0.919,0.081,0.547
YILIU,R,150ms,150,TRUE,0.12846488903775688,-3.6143140121851256,3.8630340070861267,0.527375,0.472625,0.880375
YILIU,R,200ms,200,FALSE,4.067029950403111,0.2183132258447756,7.776745700113038,0.980625,0.019375,0.2915
YILIU,R,250ms,250,FALSE,2.0386121472450713,-1.5807492572419548,5.860246127526532,0.860625,0.139375,0.685625
YILIU,R,300ms,300,FALSE,1.445483146290317,-2.172862763380828,5.114297405911038,0.786375,0.213625,0.786875
YILIU,R,350ms,350,FALSE,1.1138848400575294,-2.3038617210585643,4.45329874904715,0.737875,0.262125,0.8585
