ID,CueType,DurationF,Duration_ms,estimate,lower,upper,boot_se,n1,n10,excludes_0
AQ,NR,50ms,50,6.3387045854748365,-20.037095701488074,33.426553494620094,13.731672320897543,30,30,FALSE
AQ,NR,100ms,100,13.124782529395304,-8.77500219404438,35.037186374105026,11.20080954050498,30,30,FALSE
AQ,NR,150ms,150,28.27258138481755,1.4361851313050396,60.8553841351553,15.123114166408316,30,30,TRUE
AQ,NR,200ms,200,-2.7067600399819725,-23.40261508871401,16.53241524145918,10.168936772462574,30,30,FALSE
AQ,NR,250ms,250,8.98652754213127,-22.584034969629197,40.24395533337264,15.896550232680966,30,30,FALSE
AQ,NR,300ms,300,-18.418826426472435,-43.87073377292121,5.785587730089884,12.515692391488736,30,30,FALSE
AQ,NR,350ms,350,6.183828419418532,-17.36969032687494,29.699379832936078,11.994681038696484,30,30,FALSE
AQ,R,50ms,50,8.614695612957654,-2.3595713499166155,20.42968369239936,5.936061275161137,30,30,FALSE
AQ,R,100ms,100,4.177694908474045,-24.6973689743963,32.63470539242486,14.696636589880283,30,30,FALSE
AQ,R,150ms,150,10.8242172887376,-0.23147200547387745,22.521794627952747,5.995648095991616,30,30,FALSE
AQ,R,200ms,200,23.854352621208253,4.156379661573858,43.742470497750844,10.108074882047863,30,30,TRUE
AQ,R,250ms,250,5.44252190358527,-1.0036442798844554,11.246617429836599,3.1221358427023853,30,30,FALSE
AQ,R,300ms,300,-18.2099963846438,-39.3738733123161,3.0450980310782483,10.727711800864302,30,30,FALSE
AQ,R,350ms,350,13.100374636432631,-0.2827839464161225,28.604687088051318,7.791942111926555,30,30,FALSE
HC,NR,50ms,50,11.203527671981973,-12.930679491689155,37.05727979058319,12.770216391173614,30,30,FALSE
HC,NR,100ms,100,6.843327079995035,-19.96394420122363,35.04797789070078,14.07097237480338,30,30,FALSE
HC,NR,150ms,150,12.33917731213996,-13.022449124698369,38.30263687056354,13.076485821433312,30,30,FALSE
HC,NR,200ms,200,2.7917860337223743,-18.702047281022388,24.579343763232842,11.108096118513224,30,30,FALSE
HC,NR,250ms,250,-17.66652403151169,-36.60935425473087,1.3841659365958272,9.755110966508711,30,30,FALSE
HC,NR,300ms,300,18.426368202359424,-1.6752646579365307,38.315516938079966,10.294962755920931,30,30,FALSE
HC,NR,350ms,350,-15.9531105753614,-36.58660505993481,4.974474392519605,10.629216628586203,30,30,FALSE
HC,R,50ms,50,24.72887746981628,4.113454483496142,45.458001922599124,10.515058097905776,30,30,TRUE
HC,R,100ms,100,13.104548739334618,-11.787488686949493,38.31355383073537,12.847813163476474,30,30,FALSE
HC,R,150ms,150,18.82929165393323,1.8891110552558135,34.1964682810678,8.221327521670583,30,30,TRUE
HC,R,200ms,200,23.60330113846278,1.7494835774415096,44.9975905428101,10.786952713586446,30,30,TRUE
HC,R,250ms,250,-0.9108315595135146,-7.96949214757946,5.82199389397431,3.533498672624828,30,30,FALSE
HC,R,300ms,300,-7.9877364303727205,-25.011063728630518,7.963856405917318,8.705692766285129,30,30,FALSE
HC,R,350ms,350,12.477344709275908,-7.380419637280629,31.549765344649213,9.918897491436633,30,30,FALSE
YILIU,NR,50ms,50,35.121903211500516,5.26166471084564,73.11573893901459,17.23893791799141,30,30,TRUE
YILIU,NR,100ms,100,4.340648635754391,-17.8366079876812,26.766066827181422,11.299037668786518,30,30,FALSE
YILIU,NR,150ms,150,24.471813420878618,-2.7320235713298433,54.307172059668915,14.252499057646444,29,30,FALSE
YILIU,NR,200ms,200,6.769519280700543,-21.488162825920433,35.60267246909373,14.529049573040806,30,30,FALSE
YILIU,NR,250ms,250,13.2922449653517,-14.777505274025945,43.33334030603566,14.686811292388816,30,30,FALSE
YILIU,NR,300ms,300,-3.892750415404606,-29.85273228670772,21.042387893075333,13.073970594554583,30,30,FALSE
YILIU,NR,350ms,350,9.742745238573782,-17.205366696480542,35.68496925577135,13.431789135139173,30,30,FALSE
YILIU,R,50ms,50,11.844211793240959,3.372410174109669,19.657323272640923,4.168175231333458,30,30,TRUE
YILIU,R,100ms,100,23.845926545900696,8.822490227949704,37.78792017484838,7.389548569971244,30,30,TRUE
YILIU,R,150ms,150,6.025105653528033,-6.380783489146561,18.023353243991405,6.241686624670705,30,30,FALSE
YILIU,R,200ms,200,13.062372774153122,-4.078058373724847,30.34599620925883,8.773159320886673,30,30,FALSE
YILIU,R,250ms,250,20.25758306166901,5.368341092857828,36.50314294822877,8.341606510399341,30,30,TRUE
YILIU,R,300ms,300,-0.6672987428073807,-6.0253930007775525,4.804436235385865,2.7937209189072867,30,30,FALSE
YILIU,R,350ms,350,15.420783294511127,-0.21858069591031665,31.948321375742722,9.294660801702236,30,30,FALSE
