ID,effect,median,lower,upper,p_lt_0,p_gt_0,p_in_rope
AQ,NR: 350ms - 50ms,-3.884385556395993,-6.631971776227111,-1.1359957532474496,0.996875,0.003125,0.265625
HC,NR: 350ms - 50ms,-2.527333097921522,-5.199831573867445,0.13840434773097285,0.9695,0.0305,0.63125
YILIU,NR: 350ms - 50ms,0.7609182099131195,-1.4963436370716348,3.056706960747606,0.26075,0.73925,0.969875
AQ,NR: duration_effect_late_minus_early,-3.119144930894634,-10.930150502855298,4.1514699128928925,0.801875,0.198125,0.436
HC,NR: duration_effect_late_minus_early,6.310757074671825,-1.2124703959874932,13.819161191791466,0.048875,0.951125,0.189
YILIU,NR: duration_effect_late_minus_early,-5.338681599543766,-11.058033631854187,0.21816457667618724,0.96975,0.03025,0.196625
AQ,NR: linear_trend,-20.251442794195214,-30.764496351116705,-9.52764005551063,1,0,7.5e-4
HC,NR: linear_trend,-17.720588421034684,-27.807982025973995,-7.574449562675051,0.999875,1.25e-4,0.00125
YILIU,NR: linear_trend,-4.3682857387642375,-12.893172824748127,4.251138404512002,0.84425,0.15575,0.336
AQ,R: 350ms - 50ms,-1.3011319147364326,-3.0643879075655667,0.4208625932392954,0.92575,0.07425,0.970875
HC,R: 350ms - 50ms,-0.9224036406995784,-3.011928242107091,1.1617578888601072,0.807375,0.192625,0.973875
YILIU,R: 350ms - 50ms,-0.48295526063654975,-1.753777788267796,0.7202407403633416,0.789125,0.210875,1
AQ,R: duration_effect_late_minus_early,-2.86275067737989,-8.383631573910037,2.5660390457452684,0.849625,0.150375,0.503625
HC,R: duration_effect_late_minus_early,0.15563475621978995,-6.059643535701249,6.161255995121575,0.478375,0.521625,0.6715
YILIU,R: duration_effect_late_minus_early,0.48238328432094324,-3.225421376031412,4.15716990732723,0.40175,0.59825,0.883375
AQ,R: linear_trend,-6.110521295978002,-12.620583608165203,0.30061019191166743,0.968375,0.031625,0.166125
HC,R: linear_trend,-3.051116374595902,-10.76314121292871,4.52493960951151,0.786875,0.213125,0.43425
YILIU,R: linear_trend,-2.865888830624955,-7.465396647536801,1.6058211943494973,0.890375,0.109625,0.5225
AQ,catchup_average,2.600971953834745,-0.617040120432866,5.821033696444259,0.059375,0.940625,0.595
HC,catchup_average,1.6272141354784884,-1.7611609533273955,5.050093112453679,0.17875,0.82125,0.78775
YILIU,catchup_average,-1.247269123163135,-3.869449367343945,1.3157455494501609,0.827,0.173,0.90725
AQ,catchup_early,1.606651046011096,-4.914657164432707,7.873231711278421,0.313625,0.686375,0.580625
HC,catchup_early,2.950708837652049,-3.1637130958291872,9.07537696238278,0.168125,0.831875,0.476625
YILIU,catchup_early,-6.035170725287547,-10.949061595169816,-1.162627786950458,0.99075,0.00925,0.11325
AQ,catchup_late,1.9111856834885725,-4.512535141462507,8.559111694691572,0.287,0.713,0.55925
HC,catchup_late,-3.190889089501458,-10.486948007672826,4.12275161966534,0.80275,0.19725,0.431875
YILIU,catchup_late,-0.18875806716379628,-4.895476432175802,4.594913819283702,0.532,0.468,0.795125
AQ,catchup_late_minus_early,0.3147123455958991,-8.356626552096388,9.222053398945034,0.473,0.527,0.49875
HC,catchup_late_minus_early,-6.165830679969515,-15.135416496725162,2.6362649454001272,0.9135,0.0865,0.21825
YILIU,catchup_late_minus_early,5.864876710930604,-0.42691135626997073,12.309493882577545,0.03725,0.96275,0.1825
AQ,gain_100ms,10.96088517890231,8.54432575562728,13.309695623116905,0,1,0
HC,gain_100ms,8.827324052612244,6.424467288361769,11.253942984207736,0,1,0
YILIU,gain_100ms,8.300295331458187,6.2321285445436825,10.411513086340392,0,1,0
AQ,gain_150ms,8.711415285171036,5.785705302015134,11.706497523348562,0,1,1.25e-4
HC,gain_150ms,8.091885497109498,5.457961591266768,10.734530880714013,0,1,0
YILIU,gain_150ms,4.658398077812716,2.9612941367445162,6.496929477660485,0,1,0.028
AQ,gain_200ms,9.557595454367945,7.22781757600432,12.005468376954891,0,1,0
HC,gain_200ms,5.29380872401704,2.6961103285679955,7.900104135424073,0,1,0.039875
YILIU,gain_200ms,5.801747117710091,4.147598564785022,7.496177910658299,0,1,3.75e-4
AQ,gain_250ms,10.983643903629266,8.77021693265293,13.171268070691225,0,1,0
HC,gain_250ms,8.19724349954543,5.986974210565658,10.40893897959891,0,1,0
YILIU,gain_250ms,4.469219344168014,2.827356117390369,6.154280342962215,0,1,0.04225
AQ,gain_300ms,6.632329204941282,4.320806962257255,8.974552647661172,0,1,8.75e-4
HC,gain_300ms,3.8727072858844034,1.7646121768408602,5.99050611538251,1.25e-4,0.999875,0.207
YILIU,gain_300ms,5.763614956340349,4.286011423698922,7.2967351843731905,0,1,0
AQ,gain_350ms,7.624040501181804,5.436004336072881,9.770572724055574,0,1,0
HC,gain_350ms,3.163717030377293,0.9045833315030374,5.483073231477777,0.002875,0.997125,0.44475
YILIU,gain_350ms,7.464576290322347,5.789603683302882,9.129889499356345,0,1,0
AQ,gain_50ms,10.208200515839735,7.823366361992314,12.69748974680537,0,1,0
HC,gain_50ms,4.785447878684915,2.1965997763504443,7.36178128618288,0,1,0.088
YILIU,gain_50ms,6.213272140437336,4.2703358780406555,8.175506152914632,0,1,1.25e-4
AQ,gain_at_50ms,10.208200515839735,7.823366361992314,12.69748974680537,0,1,0
HC,gain_at_50ms,4.785447878684915,2.1965997763504443,7.36178128618288,0,1,0.088
YILIU,gain_at_50ms,6.213272140437336,4.2703358780406555,8.175506152914632,0,1,1.25e-4
