ID,model,CueType,DurationF,Duration_ms,n_trials,kappa,circSD_deg,logLik_cell,convergence
AQ,14k,NR,50ms,50,300,1.6603787464427116,54.76043000601197,-415.1147030708896,0
AQ,14k,NR,100ms,100,300,1.9265809285807098,49.8070380701405,-387.2181366152245,0
AQ,14k,NR,150ms,150,300,1.5266818087583822,57.66141269905681,-429.7762613567436,0
AQ,14k,NR,200ms,200,300,1.7761700746880582,52.481391401705785,-402.73877966140753,0
AQ,14k,NR,250ms,250,300,1.7037586099142707,53.8826168135365,-410.4387969072416,0
AQ,14k,NR,300ms,300,300,2.197037608208023,45.691708266334174,-361.13274821043865,0
AQ,14k,NR,350ms,350,300,2.2353456785146406,45.171623440419964,-357.6384396486243,0
AQ,14k,R,50ms,50,300,5.302496953158793,26.307446629264632,-192.54281002610313,0
AQ,14k,R,100ms,100,300,4.321439229825979,29.630055002059738,-228.52134948426058,0
AQ,14k,R,150ms,150,300,6.764873726518172,22.96604679242728,-151.61603182374856,0
AQ,14k,R,200ms,200,300,8.26163010426651,20.607267867530222,-119.0284646503065,0
AQ,14k,R,250ms,250,300,11.64034705175202,17.182026403054795,-64.42846709405211,0
AQ,14k,R,300ms,300,300,7.764421839338042,21.30762985731823,-129.07418614297578,0
AQ,14k,R,350ms,350,300,10.126141517650064,18.490299212713463,-86.46361844277625,0
AQ,2k,NR,NA,NA,2100,1.8355559577729192,51.388899058808356,-2775.71541097212,0
AQ,2k,R,NA,NA,2100,6.933164547056353,22.65925171336607,-1032.9882554363116,0
HC,14k,NR,50ms,50,300,2.0174302978261793,48.3322907439529,-378.1838973310737,0
HC,14k,NR,100ms,100,300,2.1082696791708284,46.95354743873747,-369.4232199763354,0
HC,14k,NR,150ms,150,300,2.0814286991016693,47.35141075524122,-371.9829259901098,0
HC,14k,NR,200ms,200,300,2.401790470447178,43.06911194160379,-343.0403081126456,0
HC,14k,NR,250ms,250,300,2.6039729475445923,40.82077817728389,-326.5611206999424,0
HC,14k,NR,300ms,300,300,3.287518980683327,35.06893456631977,-279.8905873967714,0
HC,14k,NR,350ms,350,300,2.202366261567513,45.61850557266348,-360.6436621231048,0
HC,14k,R,50ms,50,300,3.75332489220675,32.27154900660657,-254.48592713276258,0
HC,14k,R,100ms,100,300,4.584128188632183,28.61470615544292,-217.954437778771,0
HC,14k,R,150ms,150,300,6.8740412664031645,22.765607344212867,-148.97853432777688,0
HC,14k,R,200ms,200,300,5.9346062324213475,24.690319989336615,-173.41286866508835,0
HC,14k,R,250ms,250,300,10.998526398603195,17.701633630498172,-73.37389689042847,0
HC,14k,R,300ms,300,300,5.464653625415368,25.861663245354503,-187.38611192500917,0
HC,14k,R,350ms,350,300,6.052685647527672,24.420750782004436,-170.10561169482872,0
HC,2k,NR,NA,NA,2100,2.326780439306769,43.986183533581794,-2446.5129762436122,0
HC,2k,R,NA,NA,2100,5.612693532284598,25.474389773358546,-1279.8498510205677,0
YILIU,14k,NR,50ms,50,300,1.7340668072775127,53.286597595267416,-407.1992708694967,0
YILIU,14k,NR,100ms,100,300,1.514218235721311,57.94782684919722,-431.1591298067565,0
YILIU,14k,NR,150ms,150,299,1.572309690228922,56.63678105415096,-423.3189999932681,0
YILIU,14k,NR,200ms,200,300,1.593927968164902,56.16409261238235,-422.3588986228396,0
YILIU,14k,NR,250ms,250,300,1.7419636985439546,53.13357953264849,-406.3590828633256,0
YILIU,14k,NR,300ms,300,300,1.8115679406093863,51.824245633386354,-399.0262971071394,0
YILIU,14k,NR,350ms,350,300,1.8591911978093631,50.96764508714651,-394.08849578736186,0
YILIU,14k,R,50ms,50,300,7.964792812107576,21.016821843985756,-124.9432576580814,0
YILIU,14k,R,100ms,100,300,7.264959109352459,22.089196754811788,-139.90574074446968,0
YILIU,14k,R,150ms,150,300,12.44451728759978,16.591459685695842,-53.928091055502406,0
YILIU,14k,R,200ms,200,300,12.075414683462036,16.85482655908495,-58.65608880251514,0
YILIU,14k,R,250ms,250,300,13.982924427733685,15.613461560402563,-35.69085786161874,0
YILIU,14k,R,300ms,300,300,30.712275381998882,10.425144026945306,85.51327662287429,0
YILIU,14k,R,350ms,350,300,14.268906708668998,15.45005420156464,-32.53298997407487,0
YILIU,2k,NR,NA,NA,2099,1.6837206490633365,54.28441904372516,-2886.7765782355614,0
YILIU,2k,R,NA,NA,2100,11.608053059598822,17.20708247380233,-454.06189667450707,0
