ID,effect,median,lower,upper,p_lt_0,p_gt_0,p_in_rope,question
AQ,gain_at_50ms,10.208200515839735,7.823366361992314,12.69748974680537,0,1,0,1. redundancy advantage
HC,gain_at_50ms,4.785447878684915,2.1965997763504443,7.36178128618288,0,1,0.088,1. redundancy advantage
YILIU,gain_at_50ms,6.213272140437336,4.2703358780406555,8.175506152914632,0,1,1.25e-4,1. redundancy advantage
AQ,NR: 350ms - 50ms,-3.884385556395993,-6.631971776227111,-1.1359957532474496,0.996875,0.003125,0.265625,2. duration change by cue
HC,NR: 350ms - 50ms,-2.527333097921522,-5.199831573867445,0.13840434773097285,0.9695,0.0305,0.63125,2. duration change by cue
YILIU,NR: 350ms - 50ms,0.7609182099131195,-1.4963436370716348,3.056706960747606,0.26075,0.73925,0.969875,2. duration change by cue
AQ,NR: linear_trend,-20.251442794195214,-30.764496351116705,-9.52764005551063,1,0,7.5e-4,2. duration change by cue
HC,NR: linear_trend,-17.720588421034684,-27.807982025973995,-7.574449562675051,0.999875,1.25e-4,0.00125,2. duration change by cue
YILIU,NR: linear_trend,-4.3682857387642375,-12.893172824748127,4.251138404512002,0.84425,0.15575,0.336,2. duration change by cue
AQ,R: 350ms - 50ms,-1.3011319147364326,-3.0643879075655667,0.4208625932392954,0.92575,0.07425,0.970875,2. duration change by cue
HC,R: 350ms - 50ms,-0.9224036406995784,-3.011928242107091,1.1617578888601072,0.807375,0.192625,0.973875,2. duration change by cue
YILIU,R: 350ms - 50ms,-0.48295526063654975,-1.753777788267796,0.7202407403633416,0.789125,0.210875,1,2. duration change by cue
AQ,R: linear_trend,-6.110521295978002,-12.620583608165203,0.30061019191166743,0.968375,0.031625,0.166125,2. duration change by cue
HC,R: linear_trend,-3.051116374595902,-10.76314121292871,4.52493960951151,0.786875,0.213125,0.43425,2. duration change by cue
YILIU,R: linear_trend,-2.865888830624955,-7.465396647536801,1.6058211943494973,0.890375,0.109625,0.5225,2. duration change by cue
AQ,catchup_average,2.600971953834745,-0.617040120432866,5.821033696444259,0.059375,0.940625,0.595,3. NR catch-up vs R
HC,catchup_average,1.6272141354784884,-1.7611609533273955,5.050093112453679,0.17875,0.82125,0.78775,3. NR catch-up vs R
YILIU,catchup_average,-1.247269123163135,-3.869449367343945,1.3157455494501609,0.827,0.173,0.90725,3. NR catch-up vs R
AQ,catchup_early,1.606651046011096,-4.914657164432707,7.873231711278421,0.313625,0.686375,0.580625,3. NR catch-up vs R
HC,catchup_early,2.950708837652049,-3.1637130958291872,9.07537696238278,0.168125,0.831875,0.476625,3. NR catch-up vs R
YILIU,catchup_early,-6.035170725287547,-10.949061595169816,-1.162627786950458,0.99075,0.00925,0.11325,3. NR catch-up vs R
AQ,catchup_late,1.9111856834885725,-4.512535141462507,8.559111694691572,0.287,0.713,0.55925,3. NR catch-up vs R
HC,catchup_late,-3.190889089501458,-10.486948007672826,4.12275161966534,0.80275,0.19725,0.431875,3. NR catch-up vs R
YILIU,catchup_late,-0.18875806716379628,-4.895476432175802,4.594913819283702,0.532,0.468,0.795125,3. NR catch-up vs R
AQ,catchup_late_minus_early,0.3147123455958991,-8.356626552096388,9.222053398945034,0.473,0.527,0.49875,3. NR catch-up vs R
HC,catchup_late_minus_early,-6.165830679969515,-15.135416496725162,2.6362649454001272,0.9135,0.0865,0.21825,3. NR catch-up vs R
YILIU,catchup_late_minus_early,5.864876710930604,-0.42691135626997073,12.309493882577545,0.03725,0.96275,0.1825,3. NR catch-up vs R
AQ,NR: duration_effect_late_minus_early,-3.119144930894634,-10.930150502855298,4.1514699128928925,0.801875,0.198125,0.436,4. practice change of duration slope
HC,NR: duration_effect_late_minus_early,6.310757074671825,-1.2124703959874932,13.819161191791466,0.048875,0.951125,0.189,4. practice change of duration slope
YILIU,NR: duration_effect_late_minus_early,-5.338681599543766,-11.058033631854187,0.21816457667618724,0.96975,0.03025,0.196625,4. practice change of duration slope
AQ,R: duration_effect_late_minus_early,-2.86275067737989,-8.383631573910037,2.5660390457452684,0.849625,0.150375,0.503625,4. practice change of duration slope
HC,R: duration_effect_late_minus_early,0.15563475621978995,-6.059643535701249,6.161255995121575,0.478375,0.521625,0.6715,4. practice change of duration slope
YILIU,R: duration_effect_late_minus_early,0.48238328432094324,-3.225421376031412,4.15716990732723,0.40175,0.59825,0.883375,4. practice change of duration slope
