ID,effect,median,lower,upper,p_lt_0,p_gt_0,p_in_rope,question
AQ,gain_at_50ms,29.56982872095736,28.59726468921998,30.564479676647743,0,1,0,1. redundancy advantage
HC,gain_at_50ms,16.701354120560303,15.793358336291497,17.580994260349275,0,1,0,1. redundancy advantage
YILIU,gain_at_50ms,30.50960463847121,29.477430640438538,31.526028098203067,0,1,0,1. redundancy advantage
AQ,NR: 350ms - 50ms,-9.487614207077472,-10.495746630114914,-8.500116075430956,1,0,0,2. duration change by cue
HC,NR: 350ms - 50ms,-3.063727670988481,-4.002062850746529,-2.11807082548834,1,0,0.44525,2. duration change by cue
YILIU,NR: 350ms - 50ms,-0.7399350094986097,-1.8934613599684371,0.4290244779956073,0.892125,0.107875,1,2. duration change by cue
AQ,NR: linear_trend,-39.989439455975436,-43.85183340574852,-36.22492889341529,1,0,0,2. duration change by cue
HC,NR: linear_trend,-40.115191630389205,-43.629387553858344,-36.61123210474165,1,0,0,2. duration change by cue
YILIU,NR: linear_trend,-15.815226231241759,-20.204682742037566,-11.403554569424438,1,0,0,2. duration change by cue
AQ,R: 350ms - 50ms,-5.342278815908405,-6.270840175865723,-4.443008280546019,1,0,0,2. duration change by cue
HC,R: 350ms - 50ms,-7.756546579256254,-8.598086149172786,-6.948598326527513,1,0,0,2. duration change by cue
YILIU,R: 350ms - 50ms,-4.84309181048596,-5.59936782817131,-4.101436149103022,1,0,0,2. duration change by cue
AQ,R: linear_trend,-38.3201062983699,-41.75295828776526,-34.91283229655797,1,0,0,2. duration change by cue
HC,R: linear_trend,-32.03437401193783,-35.14208961273367,-28.905680495423113,1,0,0,2. duration change by cue
YILIU,R: linear_trend,-36.1990676922199,-39.00935753551827,-33.369330303776394,1,0,0,2. duration change by cue
AQ,catchup_average,4.140372136942393,2.819363420538886,5.4980258719833195,0,1,0.046875,3. NR catch-up vs R
HC,catchup_average,-4.69863650959018,-5.948246589597862,-3.4470011337555606,1,0,0.00425,3. NR catch-up vs R
YILIU,catchup_average,-4.119184991020822,-5.478336281804789,-2.743031560879863,1,0,0.05475,3. NR catch-up vs R
AQ,catchup_early,-18.295487817610475,-21.41656903499909,-15.155291225239491,1,0,0,3. NR catch-up vs R
HC,catchup_early,-1.970861361173756,-4.775621676939924,0.7306062726180091,0.919375,0.080625,0.76275,3. NR catch-up vs R
YILIU,catchup_early,-6.522600444894236,-9.665877304609818,-3.3486551745766135,1,0,0.01675,3. NR catch-up vs R
AQ,catchup_late,19.620429582849198,17.013308431840105,22.155577095428228,0,1,0,3. NR catch-up vs R
HC,catchup_late,0.5350477134646798,-1.986318556483883,3.033831299185208,0.337125,0.662875,0.97025,3. NR catch-up vs R
YILIU,catchup_late,-3.578744538207885,-6.399142140831416,-0.7908463314674959,0.99475,0.00525,0.3415,3. NR catch-up vs R
AQ,catchup_late_minus_early,37.915070387158416,33.950891998072905,41.96922710847653,0,1,0,3. NR catch-up vs R
HC,catchup_late_minus_early,2.5096795236625318,-1.124164716985554,6.221779481373731,0.085125,0.914875,0.5985,3. NR catch-up vs R
YILIU,catchup_late_minus_early,2.9295077095667343,-1.0282094796310592,6.987732203797401,0.07275,0.92725,0.510625,3. NR catch-up vs R
AQ,NR: duration_effect_late_minus_early,-25.259650689606865,-28.23563128062946,-22.25102597854437,1,0,0,4. practice change of duration slope
HC,NR: duration_effect_late_minus_early,9.255051656334913,6.3760068128657545,12.102563382337713,0,1,0,4. practice change of duration slope
YILIU,NR: duration_effect_late_minus_early,-0.7613257238742506,-4.178952662870808,2.558809605314678,0.67275,0.32725,0.88975,4. practice change of duration slope
AQ,R: duration_effect_late_minus_early,12.676857976063683,9.823326396498347,15.466177074674567,0,1,0,4. practice change of duration slope
HC,R: duration_effect_late_minus_early,11.781584536057654,9.309283572762316,14.344440928500918,0,1,0,4. practice change of duration slope
YILIU,R: duration_effect_late_minus_early,2.1930520211202706,-0.2945436227548275,4.826501109934782,0.044,0.956,0.7355,4. practice change of duration slope
