ID,CueType,DurationF,Duration_ms,n_trials,kappa,beta,gamma,p_target,circSD_deg,nll,convergence,start_id
AQ,NR,50ms,50,300,3.270643595683557,0.2030834824936113,7.88932611691502e-6,0.7969086281802717,35.18423894372278,404.6169392640176,0,1
AQ,NR,100ms,100,300,4.520566454315768,0.07586321339820269,0.14448339713819494,0.7796533894636024,28.850479006293163,368.8710511508726,0,6
AQ,NR,150ms,150,300,5.4410134544295214,0.13733192982419165,0.19455306416341367,0.6681150060123947,25.92520325469647,406.8847530717055,0,30
AQ,NR,200ms,200,300,5.282384767772448,0.08113884110897107,0.18903923594467717,0.7298219229463517,26.36440752875529,378.36855452248477,0,21
AQ,NR,250ms,250,300,5.44954037771163,0.04010859852901043,0.23962462350689664,0.720266777964093,25.902229114307772,378.98758252160883,0,4
AQ,NR,300ms,300,300,5.359797960840142,0.1778714189997269,0.016936115884253897,0.8051924651160192,26.14722217648823,337.80968095239245,0,4
AQ,NR,350ms,350,300,5.170057536915758,0.09032510690913863,0.08536015573712655,0.8243147373537348,26.689702187071006,332.21360039584084,0,12
AQ,R,50ms,50,300,12.259064246029512,0.024605409978282516,0.030064066224778026,0.9453305237969395,16.72222696014578,125.79970698890166,0,21
AQ,R,100ms,100,300,12.94341477246089,0.038464172344683724,0.04420888489864776,0.9173269427566686,16.25438644863035,146.78839525943883,0,27
AQ,R,150ms,150,300,13.950510039498859,0.010554824750423245,0.04128794232959853,0.9481572329199782,15.632312406777888,103.89132053508584,0,23
AQ,R,200ms,200,300,17.19773866675788,0.016564837748085724,0.03118186142683012,0.9522533008250842,14.027041499566835,68.66630435544356,0,23
AQ,R,250ms,250,300,20.497202365901877,4.823052486755198e-14,0.02985665425927459,0.9701433457406772,12.816127985962144,20.466507609964815,0,4
AQ,R,300ms,300,300,13.728668483673333,3.771071303404928e-14,0.03375891321278325,0.966241086787179,15.763188974565926,84.08593661749633,0,5
AQ,R,350ms,350,300,14.992669604429555,0.027612023135325396,9.627571363679993e-17,0.9723879768646745,15.058423869015172,63.03827387914756,0,3
