ID,CueType,DurationF,Duration_ms,n_trials,kappa,beta,gamma,p_target,circSD_deg,nll,convergence,start_id
HC,NR,50ms,50,300,3.7938760244720187,0.12325569104672209,0.043764540040060924,0.832979768913217,32.05859941356567,364.9394122924919,0,21
HC,NR,100ms,100,300,5.195240291906422,0.057134543390828366,0.1285759119282065,0.8142895446809651,26.615695062422823,337.5696631109452,0,13
HC,NR,150ms,150,300,3.9805567293832476,3.5031619219070563e-6,0.18890967154917657,0.8110868252889015,31.130767654529016,361.7673455576135,0,5
HC,NR,200ms,200,300,4.400975307143002,0.13574869434905432,1.1709899304506552e-6,0.8642501346610152,29.310915216973612,328.50751850254613,0,18
HC,NR,250ms,250,300,3.8025339902642736,3.435754853107627e-11,0.10501772552448714,0.8949822744411553,32.01368466041836,322.0960829348143,0,25
HC,NR,300ms,300,300,7.014551939658345,0.07679264867217195,0.027996590126291354,0.8952107612015368,22.51528807916066,247.4278076644159,0,6
HC,NR,350ms,350,300,6.86998117862899,0.11560584710413802,0.09618140736550114,0.7882127455303608,22.772966826131103,323.77082171062415,0,18
HC,R,50ms,50,300,9.041572763202064,0.040423091359726784,0.029311663630728867,0.9302652450095443,19.63642239466317,187.27352207528253,0,26
HC,R,100ms,100,300,11.715303030086542,0.0065515935820182865,0.08616557304183416,0.9072828333761476,17.12429057674331,165.03101172124593,0,23
HC,R,150ms,150,300,10.24494780993973,7.310600864010743e-13,0.038686164336883815,0.9613138356623852,18.376639723702635,130.73857698369423,0,5
HC,R,200ms,200,300,10.700932553473926,0.011849734814520596,0.02609861881480063,0.9620516463706789,17.95917136572122,127.62244506553365,0,29
HC,R,250ms,250,300,12.483956632981192,1.1767901602297259e-15,0.007208651398152228,0.9927913486018466,16.56404456303105,64.74073403916867,0,4
HC,R,300ms,300,300,10.099582176006754,0.014878816786611284,0.03490674778155563,0.950214435431833,18.51599895879336,146.92942291555073,0,2
HC,R,350ms,350,300,10.643207774787655,0.015276908140385261,0.019587646752398873,0.9651354451072158,18.01044560837704,124.98689864741225,0,12
