ID,effect,CueType,DurationF,parameter,estimate,boot_mean,boot_se,lower,upper,n_boot,Duration_ms
AQ,NR_50ms_kappa,NR,50ms,kappa,3.37577864589443,3.4104764015598468,0.5514972574963284,2.321049976512679,4.308588566222491,60,50
AQ,NR_100ms_kappa,NR,100ms,kappa,4.5287325483831475,4.688703710007504,0.677654015531032,3.361867364359239,6.081549917466052,60,100
AQ,NR_150ms_kappa,NR,150ms,kappa,5.43860718371478,5.398072365917111,1.4729940044932157,3.5508103903600556,9.088915667647871,60,150
AQ,NR_200ms_kappa,NR,200ms,kappa,5.235893038896412,5.849919366416392,1.688064297884961,3.7508081719145303,9.929778555828317,60,200
AQ,NR_250ms_kappa,NR,250ms,kappa,5.685444254343716,6.077729184036849,1.0246232955634043,4.657101183216121,8.875920049466679,60,250
AQ,NR_300ms_kappa,NR,300ms,kappa,5.3718364632083775,5.295103547512206,0.8766544445741671,3.9745442567248506,6.837506478117115,60,300
AQ,NR_350ms_kappa,NR,350ms,kappa,5.215655996855786,5.297561248576552,0.9051557506658744,4.165391716525793,7.376488657324758,60,350
AQ,NR_50ms_gamma,NR,50ms,gamma,4.4896007486616666e-24,3.895423308604929e-24,1.6936328625685987e-24,1.7530446392118146e-24,8.096075938809905e-24,60,50
AQ,NR_100ms_gamma,NR,100ms,gamma,0.1377670401309213,0.1411111554735175,0.05406300298472451,0.04070415053604753,0.23836923546979277,60,100
AQ,NR_150ms_gamma,NR,150ms,gamma,0.18525868912390436,0.16288591658871335,0.06551878572198137,0.037978925001193264,0.27326507332554306,60,150
AQ,NR_200ms_gamma,NR,200ms,gamma,0.18567546372523763,0.16291436110679408,0.07055629199300897,0.025913351776393298,0.27713053290433354,60,200
AQ,NR_250ms_gamma,NR,250ms,gamma,0.2377096213282095,0.2345271285127339,0.055217215741548475,0.12663520231736838,0.34763342916441514,60,250
AQ,NR_300ms_gamma,NR,300ms,gamma,0.013676988166211676,0.015330379591900582,0.01713474248367299,7.837942824501967e-4,0.05524782128709037,60,300
AQ,NR_350ms_gamma,NR,350ms,gamma,0.09054297899749189,0.07665129947348812,0.06764611388543008,0.005003873321301218,0.22671052620727855,60,350
AQ,NR_50ms_beta,NR,50ms,beta,0.17959564598387534,0.1665874301278577,0.04312637120236147,0.05640328492824002,0.2285414861718555,60,50
AQ,NR_100ms_beta,NR,100ms,beta,0.07985702162284342,0.073284962256165,0.04364783299490915,0.0049963468165356816,0.14627048932117798,60,100
AQ,NR_150ms_beta,NR,150ms,beta,0.12344325119368786,0.12062573927551176,0.05642834359753816,0.03109262670970581,0.24332939851311053,60,150
AQ,NR_200ms_beta,NR,200ms,beta,0.0787046158122897,0.0836845485879024,0.04955367335776485,0.004842219817140781,0.1688219383439969,60,200
AQ,NR_250ms_beta,NR,250ms,beta,3.737184685503969e-4,0.001167667967259714,0.002887763976790133,1.864892015909219e-5,0.011441287246248814,60,250
AQ,NR_300ms_beta,NR,300ms,beta,0.17898992396581354,0.174374852409952,0.03815529146370358,0.10143140272595437,0.24404513800225924,60,300
AQ,NR_350ms_beta,NR,350ms,beta,0.08087546339284266,0.08504097534343381,0.04198438880146169,0.006856237817011372,0.17436091200846282,60,350
AQ,R_50ms_kappa,R,50ms,kappa,12.4738881281487,12.95910950738409,1.6360673827470749,10.595511617230246,17.009260052840627,60,50
AQ,R_100ms_kappa,R,100ms,kappa,12.63428750591805,13.82988678044082,2.5308208016552127,10.01163981043744,19.3285649965001,60,100
AQ,R_150ms_kappa,R,150ms,kappa,14.018949212414945,13.883217897429379,1.4745906954169865,11.227474167884715,17.132854179478304,60,150
AQ,R_200ms_kappa,R,200ms,kappa,16.593067531228396,17.098890300334386,2.9034776745539124,12.632965507145496,23.111938019547225,60,200
AQ,R_250ms_kappa,R,250ms,kappa,19.1543689734607,19.684464643521128,2.4306641337700263,16.28145821200179,24.88920605230806,60,250
AQ,R_300ms_kappa,R,300ms,kappa,13.581633271326364,13.874773115018586,1.6334534615793863,11.2222692445987,17.23586918692883,60,300
AQ,R_350ms_kappa,R,350ms,kappa,15.034030346798238,15.440679514990048,2.2067605760479805,11.374103562930088,20.146085431786332,60,350
AQ,R_50ms_gamma,R,50ms,gamma,0.004189591050384613,0.002953198138965302,0.0038687818740468847,3.704587549029438e-4,0.010772361488512329,60,50
AQ,R_100ms_gamma,R,100ms,gamma,0.037143999160164434,0.03935804565937809,0.036330577770832755,2.1950465008321093e-4,0.10796359385694543,60,100
AQ,R_150ms_gamma,R,150ms,gamma,0.038376814833744034,0.032747817114907124,0.020691058491873554,0.0024125032733024066,0.07710156320230856,60,150
AQ,R_200ms_gamma,R,200ms,gamma,0.014075129772651795,0.014826926013361105,0.018916256014308006,4.545194190750743e-6,0.06859354758915304,60,200
AQ,R_250ms_gamma,R,250ms,gamma,0.008734011138077908,0.010834841222553132,0.008393424714405517,0.0016529159827662092,0.031035839560352177,60,250
AQ,R_300ms_gamma,R,300ms,gamma,8.712165395676623e-92,7.238831338702988e-92,9.08134998228193e-92,6.190039666697243e-93,3.266643224016696e-91,60,300
