estimate,se,lower,upper,ID,effect,parameter
-9.09810948225427,NA,NA,NA,AQ,gain50_kappa_NR_minus_R,kappa
-0.004189591050384613,NA,NA,NA,AQ,gain50_gamma_NR_minus_R,gamma
0.1508612102788699,NA,NA,NA,AQ,gain50_beta_NR_minus_R,beta
1.8398773509613564,NA,NA,NA,AQ,NR_350_minus_50_kappa,kappa
0.09054297899749189,NA,NA,NA,AQ,NR_350_minus_50_gamma,gamma
-0.09872018259103268,NA,NA,NA,AQ,NR_350_minus_50_beta,beta
0.4350388633167035,NA,NA,NA,AQ,NR_350_minus_50_log_kappa,log_kappa
2.5601422186495384,NA,NA,NA,AQ,R_350_minus_50_kappa,kappa
-0.004189591050384613,NA,NA,NA,AQ,R_350_minus_50_gamma,gamma
-0.005128540589786096,NA,NA,NA,AQ,R_350_minus_50_beta,beta
0.1866788116364213,NA,NA,NA,AQ,R_350_minus_50_log_kappa,log_kappa
-0.720264867688182,NA,NA,NA,AQ,catchup_average_kappa,kappa
0.2483600516802822,NA,NA,NA,AQ,catchup_average_log_kappa,log_kappa
-0.0947325700478765,NA,NA,NA,AQ,catchup_average_gamma,gamma
0.09359164200124659,NA,NA,NA,AQ,catchup_average_beta,beta
1.2132582926796802,NA,NA,NA,AQ,catchup_early_kappa,kappa
-0.2633574280263716,NA,NA,NA,AQ,catchup_early_gamma,gamma
7.852800534348427e-4,NA,NA,NA,AQ,catchup_early_beta,beta
-2.433043277387793,NA,NA,NA,AQ,catchup_late_kappa,kappa
-0.050343940708060204,NA,NA,NA,AQ,catchup_late_gamma,gamma
0.2280510492427658,NA,NA,NA,AQ,catchup_late_beta,beta
-1.1678334671155493,NA,NA,NA,AQ,NR_practice_durEffect_kappa,kappa
-0.10667584704453317,NA,NA,NA,AQ,NR_practice_durEffect_gamma,gamma
-0.20675997329923643,NA,NA,NA,AQ,NR_practice_durEffect_beta,beta
2.4784681029519238,NA,NA,NA,AQ,R_practice_durEffect_kappa,kappa
0.10633764027377822,NA,NA,NA,AQ,R_practice_durEffect_gamma,gamma
0.020505795890094543,NA,NA,NA,AQ,R_practice_durEffect_beta,beta
-5.127498660076446,NA,NA,NA,HC,gain50_kappa_NR_minus_R,kappa
0.016664315553371282,NA,NA,NA,HC,gain50_gamma_NR_minus_R,gamma
0.05673938539944624,NA,NA,NA,HC,gain50_beta_NR_minus_R,beta
2.8363463805493363,NA,NA,NA,HC,NR_350_minus_50_kappa,kappa
0.06535213469646466,NA,NA,NA,HC,NR_350_minus_50_gamma,gamma
0.013607722924535923,NA,NA,NA,HC,NR_350_minus_50_beta,beta
0.5378299084069311,NA,NA,NA,HC,NR_350_minus_50_log_kappa,log_kappa
1.5371056537582763,NA,NA,NA,HC,R_350_minus_50_kappa,kappa
0.010398887584017674,NA,NA,NA,HC,R_350_minus_50_gamma,gamma
-0.041898774046107846,NA,NA,NA,HC,R_350_minus_50_beta,beta
0.15592288537750942,NA,NA,NA,HC,R_350_minus_50_log_kappa,log_kappa
1.29924072679106,NA,NA,NA,HC,catchup_average_kappa,kappa
0.3819070230294217,NA,NA,NA,HC,catchup_average_log_kappa,log_kappa
-0.05495324711244698,NA,NA,NA,HC,catchup_average_gamma,gamma
-0.05550649697064377,NA,NA,NA,HC,catchup_average_beta,beta
1.5016243092097632,NA,NA,NA,HC,catchup_early_kappa,kappa
0.05142707520524904,NA,NA,NA,HC,catchup_early_gamma,gamma
0.05846857007458543,NA,NA,NA,HC,catchup_early_beta,beta
0.8405041214576672,NA,NA,NA,HC,catchup_late_kappa,kappa
-0.046602557827928805,NA,NA,NA,HC,catchup_late_gamma,gamma
-0.15080241111278653,NA,NA,NA,HC,catchup_late_beta,beta
-0.6701729528168858,NA,NA,NA,HC,NR_practice_durEffect_kappa,kappa
0.03911305447024216,NA,NA,NA,HC,NR_practice_durEffect_gamma,gamma
0.26342195347013897,NA,NA,NA,HC,NR_practice_durEffect_beta,beta
-0.009052765064789803,NA,NA,NA,HC,R_practice_durEffect_kappa,kappa
-0.05891657856293569,NA,NA,NA,HC,R_practice_durEffect_gamma,gamma
0.05415097228276698,NA,NA,NA,HC,R_practice_durEffect_beta,beta
-17.706487996921894,NA,NA,NA,YILIU,gain50_kappa_NR_minus_R,kappa
-0.05174371418490614,NA,NA,NA,YILIU,gain50_gamma_NR_minus_R,gamma
0.2509366506080263,NA,NA,NA,YILIU,gain50_beta_NR_minus_R,beta
0.8277926833853115,NA,NA,NA,YILIU,NR_350_minus_50_kappa,kappa
0.15836268339432807,NA,NA,NA,YILIU,NR_350_minus_50_gamma,gamma
-0.14475994386834912,NA,NA,NA,YILIU,NR_350_minus_50_beta,beta
0.12344162650527668,NA,NA,NA,YILIU,NR_350_minus_50_log_kappa,log_kappa
17.408396744093498,NA,NA,NA,YILIU,R_350_minus_50_kappa,kappa
-0.03075746641877841,NA,NA,NA,YILIU,R_350_minus_50_gamma,gamma
0.002859188110647417,NA,NA,NA,YILIU,R_350_minus_50_beta,beta
0.5453063973065349,NA,NA,NA,YILIU,R_350_minus_50_log_kappa,log_kappa
-16.580604060708186,NA,NA,NA,YILIU,catchup_average_kappa,kappa
-0.42186477080125817,NA,NA,NA,YILIU,catchup_average_log_kappa,log_kappa
-0.1891201498131065,NA,NA,NA,YILIU,catchup_average_gamma,gamma
0.14761913197899654,NA,NA,NA,YILIU,catchup_average_beta,beta
-15.773447629278207,NA,NA,NA,YILIU,catchup_early_kappa,kappa
-0.2880292505717654,NA,NA,NA,YILIU,catchup_early_gamma,gamma
0.3111951418321823,NA,NA,NA,YILIU,catchup_early_beta,beta
-15.423672317333923,NA,NA,NA,YILIU,catchup_late_kappa,kappa
-0.12267231415162334,NA,NA,NA,YILIU,catchup_late_gamma,gamma
0.03041594255074371,NA,NA,NA,YILIU,catchup_late_beta,beta
-0.3592262068502379,NA,NA,NA,YILIU,NR_practice_durEffect_kappa,kappa
-0.11681473705121273,NA,NA,NA,YILIU,NR_practice_durEffect_gamma,gamma
0.2656378310409423,NA,NA,NA,YILIU,NR_practice_durEffect_beta,beta
-0.7090015187945227,NA,NA,NA,YILIU,R_practice_durEffect_kappa,kappa
0.048542199368929374,NA,NA,NA,YILIU,R_practice_durEffect_gamma,gamma
-0.015141368240496257,NA,NA,NA,YILIU,R_practice_durEffect_beta,beta
