uid,start_date_local,session,age,colorblind,gender,num_items,ColorN,redundancy,response_error,response_RT,rotation,response_degrees,response_radians,target_angle_norotation,response_derotated_degress,target_color,target_patchN,Patch_Locations1,Patch_Locations2,Patch_Locations3,Patch_Locations4,Patch_Locations5,Patch_Locations6,Patch_Color_Angle1,Patch_Color_Angle2,Patch_Color_Angle3,Patch_Color_Angle4,Patch_Color_Angle5,Patch_Color_Angle6,all_patch_colors,leave_center_RT,started_outof_center,too_fast_trigger,too_slow_trigger,timeout,tab_away_count,points,Gestalt,num_itemsi,ColorNi,redundanti,Cnd
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,0.494450062559594,1480.59999990463,162,165.49445006256,-2.888423047369,3,3.49445006255959,"[238.77, 54.52, 102.94]",1,311,222,133,44,NaN,NaN,3,60,332,174,NaN,NaN,"[[238.77, 54.52, 102.94], [206.94, 159.08, 0], [249.06, 0, 186.58], [0, 232.83, 207.28]]",1137.09999990463,FALSE,FALSE,FALSE,FALSE,1,100,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,10.0735741647464,1169.60000038147,162,61.0735741647464,-1.06593495513577,249,259.073574164746,"[0, 166.95, 255]",1,318,229,51,140,NaN,NaN,249,133,73,222,NaN,NaN,"[[0, 166.95, 255], [0, 184.66, 71.88], [193.44, 169.33, 0], [0, 230.32, 255]]",922,FALSE,FALSE,FALSE,FALSE,1,94,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,-6.23757906760525,1487.30000019073,162,199.762420932395,2.79667334015446,44,37.7624209323947,"[218.54, 139.44, 0]",1,164,342,253,75,NaN,NaN,44,191,332,157,NaN,NaN,"[[218.54, 139.44, 0], [0, 241.44, 239.77], [249.06, 0, 186.58], [0, 217.25, 166.24]]",1198.2000002861,FALSE,FALSE,FALSE,FALSE,1,97,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-140.402704131356,1737,162,252.597295868644,1.87453081263748,231,90.5972958686437,"[0, 217.07, 255]",1,303,244,126,67,8,185,231,39,94,139,352,273,"[[0, 217.07, 255], [221.07, 131.01, 0], [161.79, 178.23, 0], [0, 194.04, 104.71], [244.26, 30.45, 134.85], [144.75, 93.28, 255]]",1170.89999961853,FALSE,FALSE,FALSE,FALSE,1,22,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-1.25050550713325,1358.80000019073,162,293.749494492867,1.15628945221011,133,131.749494492867,"[0, 184.66, 71.88]",1,159,336,218,100,277,41,133,50,74,201,336,293,"[[0, 184.66, 71.88], [214.81, 147.93, 0], [192.24, 169.95, 0], [0, 242.39, 255], [248.9, 0, 176.93], [207.07, 41.4, 252.9]]",1054.30000019073,FALSE,FALSE,FALSE,FALSE,1,99,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Six Items,Six Colors,Non-Redundant Cued,-20.6819558415414,1464.30000019073,162,132.318044158459,-2.30938553036435,351,330.318044158459,"[244.63, 27.52, 137.52]",1,0,59,236,118,295,177,351,225,111,269,11,149,"[[244.63, 27.52, 137.52], [0, 226.56, 255], [120.68, 179.55, 0], [125.61, 101.53, 255], [233.43, 67.56, 74.3], [0, 207.8, 142.47]]",1217.40000009537,FALSE,FALSE,FALSE,FALSE,1,89,NA,6,6,0,9
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,1.68080675892531,1400.7999997139,162,179.680806758925,-3.13602168058293,16,17.6808067589253,"[229.58, 74.69, 50.14]",1,60,239,NaN,NaN,NaN,NaN,16,285,NaN,NaN,NaN,NaN,"[[229.58, 74.69, 50.14], [187.11, 64.96, 255]]",1136.5,FALSE,FALSE,FALSE,FALSE,1,99,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,14.6436756937813,1416.30000019073,162,18.6436756937813,-0.325393525530521,202,216.643675693781,"[0, 242.29, 255]",1,117,295,206,28,NaN,NaN,202,33,276,111,NaN,NaN,"[[0, 242.29, 255], [223.4, 118.77, 0], [157.12, 86.74, 255], [120.68, 179.55, 0]]",961.700000286102,FALSE,FALSE,FALSE,FALSE,1,92,NA,4,4,0,4
YL,2024-04-18T12:15:51,1,41,No,Man,Two Items,Two Colors,Non-Redundant Cued,-9.75894976673854,1014.7000002861,162,33.2410502332615,-0.580165773391241,241,231.241050233261,"[0, 194.11, 255]",1,124,303,NaN,NaN,NaN,NaN,241,166,NaN,NaN,NaN,NaN,"[[0, 194.11, 255], [0, 226.28, 189.23]]",941.800000190735,FALSE,FALSE,FALSE,FALSE,1,95,NA,2,2,0,1
YL,2024-04-18T12:15:51,1,41,No,Man,Four Items,Four Colors,Non-Redundant Cued,-109.970805192056,1405.30000019073,162,58.0291948079437,-1.01280051167982,6,256.029194807944,"[236.89, 59.69, 93.01]",1,142,231,53,320,NaN,NaN,6,211,309,150,NaN,NaN,"[[236.89, 59.69, 93.01], [0, 239.41, 255], [234.93, 0, 231.29], [0, 209.05, 145.67]]",1128,FALSE,FALSE,FALSE,FALSE,1,39,NA,4,4,0,4
