index,r,g,b
0,255,128.331179517518,199.574232178669
1,255,128.167940856565,196.794394565632
2,255,128.026249137009,194.001313716314
3,255,127.906493906279,191.194974520921
4,255,127.809053042376,188.37532394841
5,255,127.734291336183,185.54226832473
6,255,127.682559085306,182.695670345424
7,255,127.654190708281,179.835345786073
8,255,127.649503388163,176.96105986806
9,255,127.668795754542,174.072523230042
10,255,127.712346612981,171.169387447026
11,255,127.780413730709,168.251240028725
12,255,127.873232687134,165.317598816586
13,255,127.991015797356,162.367905683946
14,255,128.1339511164,159.401519425634
15,255,128.302201531284,156.417707701104
16,255,128.49590394738,153.415637867804
17,255,128.715168574758,150.394366507655
18,255,128.960078319352,147.352827407279
19,255,129.230688282914,144.289817699758
20,255,129.527025374753,141.203981808905
21,255,129.849088037261,138.093792752138
22,255,130.196846086253,134.957530249193
23,255,130.570240666099,131.793254943256
24,255,130.969184318652,128.598777857693
25,255,131.393561163998,125.371623970011
26,255,131.843227190102,122.108988463475
27,255,132.318010647584,118.807683784596
28,255,132.817712544991,115.464075046355
29,255,133.342107239254,112.074000505342
30,255,133.890943115331,108.6326727052
31,255,134.463943348478,105.134554264428
32,255,135.060806742154,101.573199952192
33,255,135.681208634179,97.9410532555355
34,255,136.32480186351,94.2291804632759
35,255,136.991217789826,90.42691731209
36,255,137.680067358068,86.5213906122104
37,255,138.390942200068,82.4968566755072
38,255,139.123415765522,78.3337636039991
39,255,139.87704447476,74.0073834255024
40,255,140.651368885994,69.4857476488339
41,255,141.445914870041,64.7264010678241
42,255,142.260194785918,59.6710333527663
43,255,143.093708651067,54.2360177446588
44,255,143.945945300447,48.2942917249368
45,255,144.816383529191,41.6364751020704
46,255,145.704493213996,33.8722294739244
47,255,146.609736408939,24.0993926230932
48,255,147.531568411882,8.83957548045691
49,255,148.469438798123,0
50,255,149.422792418472,0
51,255,150.39107035932,0
52,255,151.373710862801,0
53,255,152.370150205514,0
54,255,153.37982353468,0
55,255,154.402165660999,0
56,255,155.436611807796,0
57,255,156.482598316351,0
