uid,Parameter,Estimate
AQ,vnormS2,4.08953556280065
AQ,vnormS4,3.97742215040025
AQ,vnormS6,3.8437471368387
AQ,eta1,0.208578338614043
AQ,a,4.99922039675929
AQ,ter,0.288543658221028
AQ,kappa_S2C2NR,3.07334893275639
AQ,kappa_S4C2NR,3.29707722382777
AQ,kappa_S4C2R,3.75343527070172
AQ,kappa_S4C4NR,2.53114615777028
AQ,kappa_S6C2NR,3.08711142789478
AQ,kappa_S6C2R,3.83016588122005
AQ,kappa_S6C4NR,2.34367177185332
AQ,kappa_S6C4R,3.28933131796794
AQ,kappa_S6C6NR,1.84768666650199
AQ,st,0.27310913816303
ES,vnormS2,7.47242137391736
ES,vnormS4,6.6038118531961
ES,vnormS6,5.91120457302702
ES,eta1,1.49489854071455
ES,a,3.53923498979695
ES,ter,0.580700143202588
ES,kappa_S2C2NR,3.49972674242203
ES,kappa_S4C2NR,3.38350013675144
ES,kappa_S4C2R,3.56593231525519
ES,kappa_S4C4NR,2.77310779980796
ES,kappa_S6C2NR,3.57840435049368
ES,kappa_S6C2R,4.12362279787931
ES,kappa_S6C4NR,2.81837742244867
ES,kappa_S6C4R,2.43849754050686
ES,kappa_S6C6NR,1.83927407762472
ES,st,0.284998851587288
HC,vnormS2,6.09343841690503
HC,vnormS4,5.64058966992131
HC,vnormS6,5.18972825050601
HC,eta1,1.03481476672913
HC,a,3.45507286766558
HC,ter,0.354714105616549
HC,kappa_S2C2NR,3.16938580219053
HC,kappa_S4C2NR,2.76401875850103
HC,kappa_S4C2R,3.26719636183318
HC,kappa_S4C4NR,2.67693198748537
HC,kappa_S6C2NR,2.82417122356272
HC,kappa_S6C2R,3.7128380108968
HC,kappa_S6C4NR,2.5062196711624
HC,kappa_S6C4R,3.29856324587112
HC,kappa_S6C6NR,2.39997804585918
HC,st,0.154659057280012
PG,vnormS2,6.08396477521037
PG,vnormS4,5.96280108226138
PG,vnormS6,5.60119793633326
PG,eta1,1.16363345413962
PG,a,4.99949322165806
PG,ter,0.178250803691044
PG,kappa_S2C2NR,3.18496549034845
PG,kappa_S4C2NR,3.07140555676593
PG,kappa_S4C2R,3.59702285955941
PG,kappa_S4C4NR,2.26217060405492
PG,kappa_S6C2NR,3.09941253499522
PG,kappa_S6C2R,3.66092643735284
PG,kappa_S6C4NR,1.96088380743543
PG,kappa_S6C4R,2.81703265972944
PG,kappa_S6C6NR,1.31698454526455
PG,st,0.345000651704707
YL,vnormS2,5.2142216567926
YL,vnormS4,4.85047555618328
YL,vnormS6,4.38926800450128
YL,eta1,0.233386561424436
YL,a,4.41804355347236
YL,ter,0.232833521202705
YL,kappa_S2C2NR,3.12632584468373
YL,kappa_S4C2NR,2.65777600158709
YL,kappa_S4C2R,4.268494170981
YL,kappa_S4C4NR,2.32041214623895
YL,kappa_S6C2NR,2.59751611536552
YL,kappa_S6C2R,4.30816262323559
YL,kappa_S6C4NR,1.64250213863328
YL,kappa_S6C4R,2.88723410222449
YL,kappa_S6C6NR,1.36983580471053
YL,st,0.23499984300298
