uid,Cond,Measure,Bin,Observed,Model
AQ,S2C2NR,Angle,Central <=15,0.640562248995984,0.727148907173019
AQ,S2C2NR,Angle,Shoulder 15-45,0.327309236947791,0.2166240030928
AQ,S2C2NR,Angle,Tail >45,0.0321285140562249,0.0562270897341821
AQ,S2C2NR,RT,0.3-1.0,0.00401606425702811,7.29083909334949e-05
AQ,S2C2NR,RT,1.0-1.3,0.0401606425702811,0.0320964388120535
AQ,S2C2NR,RT,1.3-1.6,0.263052208835341,0.288413870423203
AQ,S2C2NR,RT,1.6-2.0,0.522088353413655,0.502515815444875
AQ,S2C2NR,RT,2.0-3.0,0.170682730923695,0.176900966928937
AQ,S4C2NR,Angle,Central <=15,0.656626506024096,0.757023795664834
AQ,S4C2NR,Angle,Shoulder 15-45,0.311244979919679,0.203524478045945
AQ,S4C2NR,Angle,Tail >45,0.0321285140562249,0.0394517262892211
AQ,S4C2NR,RT,0.3-1.0,0,5.39182000199907e-05
AQ,S4C2NR,RT,1.0-1.3,0.0321285140562249,0.0262100314767143
AQ,S4C2NR,RT,1.3-1.6,0.323293172690763,0.257865796365582
AQ,S4C2NR,RT,1.6-2.0,0.461847389558233,0.505170845010122
AQ,S4C2NR,RT,2.0-3.0,0.182730923694779,0.210699408947561
AQ,S4C2R,Angle,Central <=15,0.7374749498998,0.802143233603062
AQ,S4C2R,Angle,Shoulder 15-45,0.240480961923848,0.180070846393001
AQ,S4C2R,Angle,Tail >45,0.0220440881763527,0.0177859200039379
AQ,S4C2R,RT,0.3-1.0,0,5.39179125741559e-05
AQ,S4C2R,RT,1.0-1.3,0.0180360721442886,0.0262099619287713
AQ,S4C2R,RT,1.3-1.6,0.24248496993988,0.257865880130064
AQ,S4C2R,RT,1.6-2.0,0.501002004008016,0.50517203463607
AQ,S4C2R,RT,2.0-3.0,0.238476953907816,0.21069820539252
AQ,S4C4NR,Angle,Central <=15,0.532,0.606228910764108
AQ,S4C4NR,Angle,Shoulder 15-45,0.352,0.275175232285471
AQ,S4C4NR,Angle,Tail >45,0.116,0.11859585695042
AQ,S4C4NR,RT,0.3-1.0,0,5.39191316595899e-05
AQ,S4C4NR,RT,1.0-1.3,0.02,0.0262102568881056
AQ,S4C4NR,RT,1.3-1.6,0.262,0.257865524877751
AQ,S4C4NR,RT,1.6-2.0,0.506,0.505166989327545
AQ,S4C4NR,RT,2.0-3.0,0.212,0.210703309774938
AQ,S6C2NR,Angle,Central <=15,0.639278557114228,0.719099669717986
AQ,S6C2NR,Angle,Shoulder 15-45,0.314629258517034,0.225277043111987
AQ,S6C2NR,Angle,Tail >45,0.0460921843687375,0.0556232871700259
AQ,S6C2NR,RT,0.3-1.0,0.00200400801603206,3.73528368839662e-05
AQ,S6C2NR,RT,1.0-1.3,0.0260521042084168,0.0203860279549854
AQ,S6C2NR,RT,1.3-1.6,0.2625250501002,0.223006493870547
AQ,S6C2NR,RT,1.6-2.0,0.537074148296593,0.501120533754163
AQ,S6C2NR,RT,2.0-3.0,0.172344689378758,0.255449591583421
AQ,S6C2R,Angle,Central <=15,0.77,0.800003048392612
AQ,S6C2R,Angle,Shoulder 15-45,0.206,0.184351911931953
AQ,S6C2R,Angle,Tail >45,0.024,0.0156450396754361
AQ,S6C2R,RT,0.3-1.0,0,3.73524576159333e-05
AQ,S6C2R,RT,1.0-1.3,0.024,0.0203859155195284
AQ,S6C2R,RT,1.3-1.6,0.214,0.223006494982957
AQ,S6C2R,RT,1.6-2.0,0.534,0.501122750022992
AQ,S6C2R,RT,2.0-3.0,0.228,0.255447487016908
AQ,S6C4NR,Angle,Central <=15,0.48995983935743,0.556129119454021
AQ,S6C4NR,Angle,Shoulder 15-45,0.359437751004016,0.296535709044305
AQ,S6C4NR,Angle,Tail >45,0.150602409638554,0.147335171501674
AQ,S6C4NR,RT,0.3-1.0,0,3.73535649673127e-05
AQ,S6C4NR,RT,1.0-1.3,0.0160642570281124,0.0203862437978342
AQ,S6C4NR,RT,1.3-1.6,0.190763052208835,0.223006491736316
AQ,S6C4NR,RT,1.6-2.0,0.530120481927711,0.501116279187916
AQ,S6C4NR,RT,2.0-3.0,0.263052208835341,0.255453631712966
AQ,S6C4R,Angle,Central <=15,0.717434869739479,0.749711285505113
AQ,S6C4R,Angle,Shoulder 15-45,0.224448897795591,0.21005430814169
AQ,S6C4R,Angle,Tail >45,0.0581162324649299,0.0402344063531964
AQ,S6C4R,RT,0.3-1.0,0,3.73526942282549e-05
AQ,S6C4R,RT,1.0-1.3,0.0100200400801603,0.0203859856641609
AQ,S6C4R,RT,1.3-1.6,0.18436873747495,0.22300649428893
AQ,S6C4R,RT,1.6-2.0,0.488977955911824,0.501121367368368
AQ,S6C4R,RT,2.0-3.0,0.316633266533066,0.255448799984311
AQ,S6C6NR,Angle,Central <=15,0.412474849094567,0.433712730786041
AQ,S6C6NR,Angle,Shoulder 15-45,0.301810865191147,0.327323083978451
AQ,S6C6NR,Angle,Tail >45,0.285714285714286,0.238964185235509
AQ,S6C6NR,RT,0.3-1.0,0,3.73540404487058e-05
AQ,S6C6NR,RT,1.0-1.3,0.0221327967806841,0.0203863847555327
AQ,S6C6NR,RT,1.3-1.6,0.209255533199195,0.223006490344759
AQ,S6C6NR,RT,1.6-2.0,0.52112676056338,0.501113500739407
AQ,S6C6NR,RT,2.0-3.0,0.24748490945674,0.255456270119854
