uid,Cond,Measure,Bin,Observed,Model
ES,S2C2NR,Angle,Central <=15,0.728915662650602,0.825318074054726
ES,S2C2NR,Angle,Shoulder 15-45,0.259036144578313,0.14760494520498
ES,S2C2NR,Angle,Tail >45,0.0120481927710843,0.0270769807402948
ES,S2C2NR,RT,0.3-1.0,0.00602409638554217,0.0015712898226739
ES,S2C2NR,RT,1.0-1.3,0.439759036144578,0.431595136876646
ES,S2C2NR,RT,1.3-1.6,0.487951807228916,0.495491338680096
ES,S2C2NR,RT,1.6-2.0,0.0642570281124498,0.0665703879018941
ES,S2C2NR,RT,2.0-3.0,0.00200803212851406,0.00477184671869017
ES,S4C2NR,Angle,Central <=15,0.723446893787575,0.789471730758673
ES,S4C2NR,Angle,Shoulder 15-45,0.240480961923848,0.176568099135219
ES,S4C2NR,Angle,Tail >45,0.0360721442885772,0.0339601701061089
ES,S4C2NR,RT,0.3-1.0,0.00200400801603206,0.000587665411095498
ES,S4C2NR,RT,1.0-1.3,0.360721442885772,0.307692027791653
ES,S4C2NR,RT,1.3-1.6,0.498997995991984,0.542005133693049
ES,S4C2NR,RT,1.6-2.0,0.132264529058116,0.132732926814247
ES,S4C2NR,RT,2.0-3.0,0.00601202404809619,0.0169822462899558
ES,S4C2R,Angle,Central <=15,0.732394366197183,0.809722910291146
ES,S4C2R,Angle,Shoulder 15-45,0.241448692152918,0.165468280370841
ES,S4C2R,Angle,Tail >45,0.0261569416498994,0.0248088093380122
ES,S4C2R,RT,0.3-1.0,0,0.000587616130067973
ES,S4C2R,RT,1.0-1.3,0.245472837022133,0.30769870464762
ES,S4C2R,RT,1.3-1.6,0.595573440643863,0.542028626332207
ES,S4C2R,RT,1.6-2.0,0.140845070422535,0.132718140308731
ES,S4C2R,RT,2.0-3.0,0.0181086519114688,0.0169669125813731
ES,S4C4NR,Angle,Central <=15,0.601202404809619,0.678963490035756
ES,S4C4NR,Angle,Shoulder 15-45,0.318637274549098,0.234491056092901
ES,S4C4NR,Angle,Tail >45,0.0801603206412826,0.0865454538713452
ES,S4C4NR,RT,0.3-1.0,0,0.000587929453891067
ES,S4C4NR,RT,1.0-1.3,0.316633266533066,0.307656253966212
ES,S4C4NR,RT,1.3-1.6,0.541082164328657,0.541879263289067
ES,S4C4NR,RT,1.6-2.0,0.128256513026052,0.132812145551498
ES,S4C4NR,RT,2.0-3.0,0.0140280561122244,0.0170644077393321
ES,S6C2NR,Angle,Central <=15,0.748,0.789012459823163
ES,S6C2NR,Angle,Shoulder 15-45,0.222,0.18565556704583
ES,S6C2NR,Angle,Tail >45,0.03,0.0253319731310082
ES,S6C2NR,RT,0.3-1.0,0.004,0.000248462902976143
ES,S6C2NR,RT,1.0-1.3,0.366,0.219438107551883
ES,S6C2NR,RT,1.3-1.6,0.516,0.53761844389153
ES,S6C2NR,RT,1.6-2.0,0.106,0.202786070044974
ES,S6C2NR,RT,2.0-3.0,0.008,0.0399089156086387
ES,S6C2R,Angle,Central <=15,0.762,0.821493762928308
ES,S6C2R,Angle,Shoulder 15-45,0.232,0.168506551676739
ES,S6C2R,Angle,Tail >45,0.006,0.00999968539495417
ES,S6C2R,RT,0.3-1.0,0,0.000248420616616233
ES,S6C2R,RT,1.0-1.3,0.216,0.21944389020674
ES,S6C2R,RT,1.3-1.6,0.608,0.537668361699205
ES,S6C2R,RT,1.6-2.0,0.156,0.202773767462348
ES,S6C2R,RT,2.0-3.0,0.02,0.0398655600150917
ES,S6C4NR,Angle,Central <=15,0.618473895582329,0.672880147880673
ES,S6C4NR,Angle,Shoulder 15-45,0.283132530120482,0.244025865051972
ES,S6C4NR,Angle,Tail >45,0.0983935742971888,0.0830939870673547
ES,S6C4NR,RT,0.3-1.0,0.00200803212851406,0.000248611119010755
ES,S6C4NR,RT,1.0-1.3,0.15863453815261,0.219417840304738
ES,S6C4NR,RT,1.3-1.6,0.592369477911647,0.537443487752147
ES,S6C4NR,RT,1.6-2.0,0.20281124497992,0.202829183648805
ES,S6C4NR,RT,2.0-3.0,0.0441767068273092,0.0400608771752989
ES,S6C4R,Angle,Central <=15,0.546184738955823,0.583226208414265
ES,S6C4R,Angle,Shoulder 15-45,0.271084337349398,0.283598664420062
ES,S6C4R,Angle,Tail >45,0.182730923694779,0.133175127165672
ES,S6C4R,RT,0.3-1.0,0,0.000248720086255111
ES,S6C4R,RT,1.0-1.3,0.0943775100401606,0.219402942267987
ES,S6C4R,RT,1.3-1.6,0.51004016064257,0.53731487663896
ES,S6C4R,RT,1.6-2.0,0.301204819277108,0.202860866812229
ES,S6C4R,RT,2.0-3.0,0.0943775100401606,0.040172594194568
ES,S6C6NR,Angle,Central <=15,0.44689378757515,0.433284177230628
ES,S6C6NR,Angle,Shoulder 15-45,0.246492985971944,0.325740725998207
ES,S6C6NR,Angle,Tail >45,0.306613226452906,0.240975096771165
ES,S6C6NR,RT,0.3-1.0,0,0.000248879550907485
ES,S6C6NR,RT,1.0-1.3,0.212424849699399,0.219381148720628
ES,S6C6NR,RT,1.3-1.6,0.539078156312625,0.537126721650082
ES,S6C6NR,RT,1.6-2.0,0.210420841683367,0.202907181757182
ES,S6C6NR,RT,2.0-3.0,0.0380761523046092,0.0403360683212011
