uid,Cond,Measure,Bin,Observed,Model
HC,S2C2NR,Angle,Central <=15,0.659318637274549,0.744577751199778
HC,S2C2NR,Angle,Shoulder 15-45,0.304609218436874,0.20682835539166
HC,S2C2NR,Angle,Tail >45,0.0360721442885772,0.0485938934085612
HC,S2C2NR,RT,0.3-1.0,0.390781563126253,0.370421805292045
HC,S2C2NR,RT,1.0-1.3,0.509018036072144,0.532877325097763
HC,S2C2NR,RT,1.3-1.6,0.0781563126252505,0.0846641746779217
HC,S2C2NR,RT,1.6-2.0,0.0220440881763527,0.0109101173991503
HC,S2C2NR,RT,2.0-3.0,0,0.00112657753311993
HC,S4C2NR,Angle,Central <=15,0.571142284569138,0.654439248097508
HC,S4C2NR,Angle,Shoulder 15-45,0.348697394789579,0.256155574804559
HC,S4C2NR,Angle,Tail >45,0.0801603206412826,0.089405177097934
HC,S4C2NR,RT,0.3-1.0,0.276553106212425,0.283412290646958
HC,S4C2NR,RT,1.0-1.3,0.535070140280561,0.560984369685816
HC,S4C2NR,RT,1.3-1.6,0.158316633266533,0.129493445083371
HC,S4C2NR,RT,1.6-2.0,0.0260521042084168,0.0228461391649367
HC,S4C2NR,RT,2.0-3.0,0.00400801603206413,0.00326375541891949
HC,S4C2R,Angle,Central <=15,0.674,0.744912492634011
HC,S4C2R,Angle,Shoulder 15-45,0.296,0.212796277055939
HC,S4C2R,Angle,Tail >45,0.03,0.042291230310052
HC,S4C2R,RT,0.3-1.0,0.358,0.283420909769896
HC,S4C2R,RT,1.0-1.3,0.522,0.561054940395512
HC,S4C2R,RT,1.3-1.6,0.096,0.129464152471769
HC,S4C2R,RT,1.6-2.0,0.022,0.0228121450270186
HC,S4C2R,RT,2.0-3.0,0.002,0.00324785233580662
HC,S4C4NR,Angle,Central <=15,0.56312625250501,0.634975973503211
HC,S4C4NR,Angle,Shoulder 15-45,0.344689378757515,0.264862352718206
HC,S4C4NR,Angle,Tail >45,0.0921843687374749,0.100161673778584
HC,S4C4NR,RT,0.3-1.0,0.256513026052104,0.283410483302098
HC,S4C4NR,RT,1.0-1.3,0.577154308617234,0.560969572365942
HC,S4C4NR,RT,1.3-1.6,0.128256513026052,0.129499586751695
HC,S4C4NR,RT,1.6-2.0,0.030060120240481,0.0228532670686807
HC,S4C4NR,RT,2.0-3.0,0.00801603206412826,0.00326709051158499
HC,S6C2NR,Angle,Central <=15,0.576,0.654098080551948
HC,S6C2NR,Angle,Shoulder 15-45,0.34,0.261963643433037
HC,S6C2NR,Angle,Tail >45,0.084,0.0839382760150146
HC,S6C2NR,RT,0.3-1.0,0.228,0.207671157606201
HC,S6C2NR,RT,1.0-1.3,0.592,0.558610922714164
HC,S6C2NR,RT,1.3-1.6,0.152,0.182176727556658
HC,S6C2NR,RT,1.6-2.0,0.022,0.0431556028334115
HC,S6C2NR,RT,2.0-3.0,0.006,0.00838558928956491
HC,S6C2R,Angle,Central <=15,0.726,0.772499356469463
HC,S6C2R,Angle,Shoulder 15-45,0.252,0.206747594651054
HC,S6C2R,Angle,Tail >45,0.022,0.0207530488794824
HC,S6C2R,RT,0.3-1.0,0.318,0.207675310527371
HC,S6C2R,RT,1.0-1.3,0.514,0.558726700384461
HC,S6C2R,RT,1.3-1.6,0.128,0.182162053152614
HC,S6C2R,RT,1.6-2.0,0.034,0.0430947212099159
HC,S6C2R,RT,2.0-3.0,0.006,0.00834121472563762
HC,S6C4NR,Angle,Central <=15,0.516,0.584171424021219
HC,S6C4NR,Angle,Shoulder 15-45,0.342,0.290628757186345
HC,S6C4NR,Angle,Tail >45,0.142,0.125199818792436
HC,S6C4NR,RT,0.3-1.0,0.166,0.20766881622698
HC,S6C4NR,RT,1.0-1.3,0.608,0.558545659315861
HC,S6C4NR,RT,1.3-1.6,0.178,0.182184996837198
HC,S6C4NR,RT,1.6-2.0,0.036,0.0431899200538712
HC,S6C4NR,RT,2.0-3.0,0.012,0.00841060756609025
HC,S6C4R,Angle,Central <=15,0.622489959839357,0.732772634841129
HC,S6C4R,Angle,Shoulder 15-45,0.339357429718876,0.225915374795335
HC,S6C4R,Angle,Tail >45,0.0381526104417671,0.041311990363538
HC,S6C4R,RT,0.3-1.0,0.140562248995984,0.207673898820224
HC,S6C4R,RT,1.0-1.3,0.596385542168675,0.558687342079521
HC,S6C4R,RT,1.3-1.6,0.216867469879518,0.182167042122407
HC,S6C4R,RT,1.6-2.0,0.036144578313253,0.0431154180080982
HC,S6C4R,RT,2.0-3.0,0.0100401606425703,0.00835629896975197
HC,S6C6NR,Angle,Central <=15,0.514,0.559151699220598
HC,S6C6NR,Angle,Shoulder 15-45,0.31,0.299722434782359
HC,S6C6NR,Angle,Tail >45,0.176,0.141125865997044
HC,S6C6NR,RT,0.3-1.0,0.162,0.207668010730201
HC,S6C6NR,RT,1.0-1.3,0.566,0.558523210129797
HC,S6C6NR,RT,1.3-1.6,0.224,0.182187840536304
HC,S6C6NR,RT,1.6-2.0,0.038,0.043201723998107
HC,S6C6NR,RT,2.0-3.0,0.01,0.00841921460559182
