uid,Cond,Measure,Bin,Observed,Model
PG,S2C2NR,Angle,Central <=15,0.709418837675351,0.800814062119669
PG,S2C2NR,Angle,Shoulder 15-45,0.258517034068136,0.153775404472232
PG,S2C2NR,Angle,Tail >45,0.032064128256513,0.0454105334080992
PG,S2C2NR,RT,0.3-1.0,0.064128256513026,0.0428646372845451
PG,S2C2NR,RT,1.0-1.3,0.390781563126253,0.406298382710115
PG,S2C2NR,RT,1.3-1.6,0.386773547094188,0.394066842168022
PG,S2C2NR,RT,1.6-2.0,0.130260521042084,0.13340198011587
PG,S2C2NR,RT,2.0-3.0,0.0280561122244489,0.0233681577214487
PG,S4C2NR,Angle,Central <=15,0.677354709418838,0.776716631392876
PG,S4C2NR,Angle,Shoulder 15-45,0.288577154308617,0.168798274995516
PG,S4C2NR,Angle,Tail >45,0.0340681362725451,0.054485093611608
PG,S4C2NR,RT,0.3-1.0,0.0420841683366733,0.0380334121716741
PG,S4C2NR,RT,1.0-1.3,0.444889779559118,0.38554393296434
PG,S4C2NR,RT,1.3-1.6,0.354709418837675,0.401011189860772
PG,S4C2NR,RT,1.6-2.0,0.128256513026052,0.147204258617112
PG,S4C2NR,RT,2.0-3.0,0.030060120240481,0.0282072063861027
PG,S4C2R,Angle,Central <=15,0.771543086172345,0.854324734083863
PG,S4C2R,Angle,Shoulder 15-45,0.210420841683367,0.123236614999846
PG,S4C2R,Angle,Tail >45,0.0180360721442886,0.0224386509162913
PG,S4C2R,RT,0.3-1.0,0.0400801603206413,0.0380282078500698
PG,S4C2R,RT,1.0-1.3,0.408817635270541,0.385585543748039
PG,S4C2R,RT,1.3-1.6,0.372745490981964,0.401081210807151
PG,S4C2R,RT,1.6-2.0,0.146292585170341,0.14716357241987
PG,S4C2R,RT,2.0-3.0,0.032064128256513,0.0281414651748711
PG,S4C4NR,Angle,Central <=15,0.512,0.5690059873945
PG,S4C4NR,Angle,Shoulder 15-45,0.304,0.275713629289565
PG,S4C4NR,Angle,Tail >45,0.184,0.155280383315933
PG,S4C4NR,RT,0.3-1.0,0.04,0.0380466231843476
PG,S4C4NR,RT,1.0-1.3,0.368,0.385438307342796
PG,S4C4NR,RT,1.3-1.6,0.388,0.400833444676145
PG,S4C4NR,RT,1.6-2.0,0.16,0.147307514069903
PG,S4C4NR,RT,2.0-3.0,0.044,0.0283741107268067
PG,S6C2NR,Angle,Central <=15,0.681362725450902,0.773559557728067
PG,S6C2NR,Angle,Shoulder 15-45,0.282565130260521,0.173924311986998
PG,S6C2NR,Angle,Tail >45,0.0360721442885772,0.0525161302849347
PG,S6C2NR,RT,0.3-1.0,0.0440881763527054,0.0260530804394729
PG,S6C2NR,RT,1.0-1.3,0.390781563126253,0.32316927819142
PG,S6C2NR,RT,1.3-1.6,0.386773547094188,0.412074680075379
PG,S6C2NR,RT,1.6-2.0,0.152304609218437,0.19115028394006
PG,S6C2NR,RT,2.0-3.0,0.0260521042084168,0.0475526773536679
PG,S6C2R,Angle,Central <=15,0.773547094188377,0.850251883116204
PG,S6C2R,Angle,Shoulder 15-45,0.208416833667335,0.129573483936917
PG,S6C2R,Angle,Tail >45,0.0180360721442886,0.0201746329468778
PG,S6C2R,RT,0.3-1.0,0.0240480961923848,0.0260480786574071
PG,S6C2R,RT,1.0-1.3,0.298597194388778,0.323198266507484
PG,S6C2R,RT,1.3-1.6,0.442885771543086,0.412160458985888
PG,S6C2R,RT,1.6-2.0,0.204408817635271,0.191129237728148
PG,S6C2R,RT,2.0-3.0,0.030060120240481,0.0474639581210715
PG,S6C4NR,Angle,Central <=15,0.460921843687375,0.48137787185622
PG,S6C4NR,Angle,Shoulder 15-45,0.260521042084168,0.308178691518024
PG,S6C4NR,Angle,Tail >45,0.278557114228457,0.210443436625755
PG,S6C4NR,RT,0.3-1.0,0.0160320641282565,0.0260705344143762
PG,S6C4NR,RT,1.0-1.3,0.354709418837675,0.323068140470475
PG,S6C4NR,RT,1.3-1.6,0.462925851703407,0.4117753959543
PG,S6C4NR,RT,1.6-2.0,0.124248496993988,0.19122366621218
PG,S6C4NR,RT,2.0-3.0,0.0420841683366733,0.0478622629486685
PG,S6C4R,Angle,Central <=15,0.663326653306613,0.712508556688361
PG,S6C4R,Angle,Shoulder 15-45,0.220440881763527,0.207754710229318
PG,S6C4R,Angle,Tail >45,0.11623246492986,0.0797367330823207
PG,S6C4R,RT,0.3-1.0,0.0100200400801603,0.0260569919797999
PG,S6C4R,RT,1.0-1.3,0.298597194388778,0.3231466093681
PG,S6C4R,RT,1.3-1.6,0.390781563126253,0.412007600654871
PG,S6C4R,RT,1.6-2.0,0.234468937875752,0.191166739827317
PG,S6C4R,RT,2.0-3.0,0.0661322645290581,0.0476220581699127
PG,S6C6NR,Angle,Central <=15,0.346693386773547,0.31774214119459
PG,S6C6NR,Angle,Shoulder 15-45,0.24248496993988,0.317495913007442
PG,S6C6NR,Angle,Tail >45,0.410821643286573,0.364761945797969
PG,S6C6NR,RT,0.3-1.0,0.0140280561122244,0.0260775490074406
PG,S6C6NR,RT,1.0-1.3,0.31062124248497,0.323027516723791
PG,S6C6NR,RT,1.3-1.6,0.434869739478958,0.411655172290192
PG,S6C6NR,RT,1.6-2.0,0.202404809619238,0.191253085212504
PG,S6C6NR,RT,2.0-3.0,0.0380761523046092,0.0479866767660722
