uid,Cond,Measure,Bin,Observed,Model
YL,S2C2NR,Angle,Central <=15,0.65,0.755718512466013
YL,S2C2NR,Angle,Shoulder 15-45,0.316,0.193382652087912
YL,S2C2NR,Angle,Tail >45,0.034,0.0508988354460763
YL,S2C2NR,RT,0.3-1.0,0.034,0.0398052454192996
YL,S2C2NR,RT,1.0-1.3,0.536,0.505780858613217
YL,S2C2NR,RT,1.3-1.6,0.364,0.389602160304474
YL,S2C2NR,RT,1.6-2.0,0.066,0.0631494000528894
YL,S2C2NR,RT,2.0-3.0,0,0.00166233561012151
YL,S4C2NR,Angle,Central <=15,0.544,0.646226603678383
YL,S4C2NR,Angle,Shoulder 15-45,0.364,0.253271055906417
YL,S4C2NR,Angle,Tail >45,0.092,0.100502340415201
YL,S4C2NR,RT,0.3-1.0,0.018,0.0230263174200624
YL,S4C2NR,RT,1.0-1.3,0.444,0.403805910964841
YL,S4C2NR,RT,1.3-1.6,0.422,0.450550199709483
YL,S4C2NR,RT,1.6-2.0,0.104,0.116785364946955
YL,S4C2NR,RT,2.0-3.0,0.012,0.0058322069586603
YL,S4C2R,Angle,Central <=15,0.758,0.84079544434164
YL,S4C2R,Angle,Shoulder 15-45,0.242,0.152509657694496
YL,S4C2R,Angle,Tail >45,0,0.0066948979638648
YL,S4C2R,RT,0.3-1.0,0.036,0.0230261198581057
YL,S4C2R,RT,1.0-1.3,0.424,0.403807197965494
YL,S4C2R,RT,1.3-1.6,0.446,0.450553187505623
YL,S4C2R,RT,1.6-2.0,0.094,0.116782380648686
YL,S4C2R,RT,2.0-3.0,0,0.00583111402209109
YL,S4C4NR,Angle,Central <=15,0.486,0.560982044715404
YL,S4C4NR,Angle,Shoulder 15-45,0.37,0.289798401503094
YL,S4C4NR,Angle,Tail >45,0.144,0.149219553781503
YL,S4C4NR,RT,0.3-1.0,0.014,0.0230263987359956
YL,S4C4NR,RT,1.0-1.3,0.398,0.403805381238737
YL,S4C4NR,RT,1.3-1.6,0.458,0.450548969940706
YL,S4C4NR,RT,1.6-2.0,0.122,0.116786593271515
YL,S4C4NR,RT,2.0-3.0,0.008,0.00583265681304737
YL,S6C2NR,Angle,Central <=15,0.55,0.619137560455793
YL,S6C2NR,Angle,Shoulder 15-45,0.338,0.271061955881939
YL,S6C2NR,Angle,Tail >45,0.112,0.10980048366227
YL,S6C2NR,RT,0.3-1.0,0.02,0.0105504992666757
YL,S6C2NR,RT,1.0-1.3,0.34,0.274892420184315
YL,S6C2NR,RT,1.3-1.6,0.476,0.476307087095343
YL,S6C2NR,RT,1.6-2.0,0.152,0.215322692944489
YL,S6C2NR,RT,2.0-3.0,0.012,0.0229273005091798
YL,S6C2R,Angle,Central <=15,0.77,0.820904207972366
YL,S6C2R,Angle,Shoulder 15-45,0.222,0.172561112044018
YL,S6C2R,Angle,Tail >45,0.008,0.00653467998361701
YL,S6C2R,RT,0.3-1.0,0.032,0.0105503649565738
YL,S6C2R,RT,1.0-1.3,0.392,0.274892799616026
YL,S6C2R,RT,1.3-1.6,0.452,0.476311975606272
YL,S6C2R,RT,1.6-2.0,0.12,0.21532078960368
YL,S6C2R,RT,2.0-3.0,0.004,0.022924070217449
YL,S6C4NR,Angle,Central <=15,0.328657314629259,0.385115831826292
YL,S6C4NR,Angle,Shoulder 15-45,0.372745490981964,0.329763210719587
YL,S6C4NR,Angle,Tail >45,0.298597194388778,0.285120957454121
YL,S6C4NR,RT,0.3-1.0,0.00200400801603206,0.0105506296459041
YL,S6C4NR,RT,1.0-1.3,0.180360721442886,0.27489205185347
YL,S6C4NR,RT,1.3-1.6,0.561122244488978,0.476302341671794
YL,S6C4NR,RT,1.6-2.0,0.212424849699399,0.215324540530322
YL,S6C4NR,RT,2.0-3.0,0.0440881763527054,0.0229304362985091
YL,S6C4R,Angle,Central <=15,0.64128256513026,0.683366375167965
YL,S6C4R,Angle,Shoulder 15-45,0.274549098196393,0.241885744451362
YL,S6C4R,Angle,Tail >45,0.0841683366733467,0.0747478803806728
YL,S6C4R,RT,0.3-1.0,0.0100200400801603,0.0105504575375794
YL,S6C4R,RT,1.0-1.3,0.218436873747495,0.274892538070974
YL,S6C4R,RT,1.3-1.6,0.470941883767535,0.476308605916656
YL,S6C4R,RT,1.6-2.0,0.272545090180361,0.215322101593884
YL,S6C4R,RT,2.0-3.0,0.0280561122244489,0.0229262968809063
YL,S6C6NR,Angle,Central <=15,0.306613226452906,0.322327820954127
YL,S6C6NR,Angle,Shoulder 15-45,0.31062124248497,0.322745985435301
YL,S6C6NR,Angle,Tail >45,0.382765531062124,0.354926193610571
YL,S6C6NR,RT,0.3-1.0,0,0.010550654729312
YL,S6C6NR,RT,1.0-1.3,0.204408817635271,0.274891980989908
YL,S6C6NR,RT,1.3-1.6,0.529058116232465,0.476301428712933
YL,S6C6NR,RT,1.6-2.0,0.236472945891784,0.215324895970182
YL,S6C6NR,RT,2.0-3.0,0.030060120240481,0.0229310395976646
