uid,Cond,Measure,Bin,Observed,Model
AQ,S2C2NR,Angle,Central <=15,0.640562248995984,0.696311345241563
AQ,S2C2NR,Angle,Shoulder 15-45,0.327309236947791,0.253792424240799
AQ,S2C2NR,Angle,Tail >45,0.0321285140562249,0.0498962305176398
AQ,S2C2NR,RT,0.3-1.0,0.00401606425702811,0
AQ,S2C2NR,RT,1.0-1.3,0.0401606425702811,0.0292635253886087
AQ,S2C2NR,RT,1.3-1.6,0.263052208835341,0.292574633355614
AQ,S2C2NR,RT,1.6-2.0,0.522088353413655,0.509516323199518
AQ,S2C2NR,RT,2.0-3.0,0.170682730923695,0.168645518056262
AQ,S4C2NR,Angle,Central <=15,0.656626506024096,0.724469700672084
AQ,S4C2NR,Angle,Shoulder 15-45,0.311244979919679,0.228861348593505
AQ,S4C2NR,Angle,Tail >45,0.0321285140562249,0.0466689507344106
AQ,S4C2NR,RT,0.3-1.0,0,0
AQ,S4C2NR,RT,1.0-1.3,0.0321285140562249,0.0234615861674027
AQ,S4C2NR,RT,1.3-1.6,0.323293172690763,0.259875051324227
AQ,S4C2NR,RT,1.6-2.0,0.461847389558233,0.512921336132272
AQ,S4C2NR,RT,2.0-3.0,0.182730923694779,0.203742026376098
AQ,S4C2R,Angle,Central <=15,0.7374749498998,0.773143412854414
AQ,S4C2R,Angle,Shoulder 15-45,0.240480961923848,0.186269377973874
AQ,S4C2R,Angle,Tail >45,0.0220440881763527,0.0405872091717126
AQ,S4C2R,RT,0.3-1.0,0,0
AQ,S4C2R,RT,1.0-1.3,0.0180360721442886,0.0234605159207261
AQ,S4C2R,RT,1.3-1.6,0.24248496993988,0.259877256276109
AQ,S4C2R,RT,1.6-2.0,0.501002004008016,0.512941254541855
AQ,S4C2R,RT,2.0-3.0,0.238476953907816,0.20372097326131
AQ,S4C4NR,Angle,Central <=15,0.532,0.601025200781096
AQ,S4C4NR,Angle,Shoulder 15-45,0.352,0.33326396082556
AQ,S4C4NR,Angle,Tail >45,0.116,0.0657108383933435
AQ,S4C4NR,RT,0.3-1.0,0,0
AQ,S4C4NR,RT,1.0-1.3,0.02,0.0234642161334213
AQ,S4C4NR,RT,1.3-1.6,0.262,0.259869633445629
AQ,S4C4NR,RT,1.6-2.0,0.506,0.512872392052345
AQ,S4C4NR,RT,2.0-3.0,0.212,0.203793758368604
AQ,S6C2NR,Angle,Central <=15,0.639278557114228,0.691135250796206
AQ,S6C2NR,Angle,Shoulder 15-45,0.314629258517034,0.258533362227395
AQ,S6C2NR,Angle,Tail >45,0.0460921843687375,0.0503313869763999
AQ,S6C2NR,RT,0.3-1.0,0.00200400801603206,0
AQ,S6C2NR,RT,1.0-1.3,0.0260521042084168,0.0177041335242987
AQ,S6C2NR,RT,1.3-1.6,0.2625250501002,0.221903991408471
AQ,S6C2NR,RT,1.6-2.0,0.537074148296593,0.508759164289537
AQ,S6C2NR,RT,2.0-3.0,0.172344689378758,0.251632710777695
AQ,S6C2R,Angle,Central <=15,0.77,0.76615645756733
AQ,S6C2R,Angle,Shoulder 15-45,0.206,0.192985589035353
AQ,S6C2R,Angle,Tail >45,0.024,0.040857953397315
AQ,S6C2R,RT,0.3-1.0,0,0
AQ,S6C2R,RT,1.0-1.3,0.024,0.0177026108952892
AQ,S6C2R,RT,1.3-1.6,0.214,0.221904833298341
AQ,S6C2R,RT,1.6-2.0,0.534,0.508791761389463
AQ,S6C2R,RT,2.0-3.0,0.228,0.251600794416906
AQ,S6C4NR,Angle,Central <=15,0.48995983935743,0.580574185690508
AQ,S6C4NR,Angle,Shoulder 15-45,0.359437751004016,0.348079391996021
AQ,S6C4NR,Angle,Tail >45,0.150602409638554,0.0713464223134718
AQ,S6C4NR,RT,0.3-1.0,0,0
AQ,S6C4NR,RT,1.0-1.3,0.0160642570281124,0.017706250962432
AQ,S6C4NR,RT,1.3-1.6,0.190763052208835,0.221902821304317
AQ,S6C4NR,RT,1.6-2.0,0.530120481927711,0.508713838173208
AQ,S6C4NR,RT,2.0-3.0,0.263052208835341,0.251677089560043
AQ,S6C4R,Angle,Central <=15,0.717434869739479,0.766156216113554
AQ,S6C4R,Angle,Shoulder 15-45,0.224448897795591,0.192985793069822
AQ,S6C4R,Angle,Tail >45,0.0581162324649299,0.0408579908166219
AQ,S6C4R,RT,0.3-1.0,0,0
AQ,S6C4R,RT,1.0-1.3,0.0100200400801603,0.0177026109001132
AQ,S6C4R,RT,1.3-1.6,0.18436873747495,0.221904833295673
AQ,S6C4R,RT,1.6-2.0,0.488977955911824,0.508791761286189
AQ,S6C4R,RT,2.0-3.0,0.316633266533066,0.251600794518022
AQ,S6C6NR,Angle,Central <=15,0.412474849094567,0.30723242236002
AQ,S6C6NR,Angle,Shoulder 15-45,0.301810865191147,0.389220415085675
AQ,S6C6NR,Angle,Tail >45,0.285714285714286,0.303547162554306
AQ,S6C6NR,RT,0.3-1.0,0,0
AQ,S6C6NR,RT,1.0-1.3,0.0221327967806841,0.0177094388497044
AQ,S6C6NR,RT,1.3-1.6,0.209255533199195,0.221901063424303
AQ,S6C6NR,RT,1.6-2.0,0.52112676056338,0.508645625604524
AQ,S6C6NR,RT,2.0-3.0,0.24748490945674,0.25174387212147
