uid,Cond,Measure,Bin,Observed,Model
ES,S2C2NR,Angle,Central <=15,0.728915662650602,0.788463681039514
ES,S2C2NR,Angle,Shoulder 15-45,0.259036144578313,0.171310263505252
ES,S2C2NR,Angle,Tail >45,0.0120481927710843,0.0402260554552306
ES,S2C2NR,RT,0.3-1.0,0.00602409638554217,0.00271159624966164
ES,S2C2NR,RT,1.0-1.3,0.439759036144578,0.447289009819154
ES,S2C2NR,RT,1.3-1.6,0.487951807228916,0.48205965954284
ES,S2C2NR,RT,1.6-2.0,0.0642570281124498,0.0642448816930028
ES,S2C2NR,RT,2.0-3.0,0.00200803212851406,0.00369485269533794
ES,S4C2NR,Angle,Central <=15,0.723446893787575,0.766959581441864
ES,S4C2NR,Angle,Shoulder 15-45,0.240480961923848,0.191949364890143
ES,S4C2NR,Angle,Tail >45,0.0360721442885772,0.0410910536679935
ES,S4C2NR,RT,0.3-1.0,0.00200400801603206,0.00101117659472031
ES,S4C2NR,RT,1.0-1.3,0.360721442885772,0.308133342954641
ES,S4C2NR,RT,1.3-1.6,0.498997995991984,0.535939113770507
ES,S4C2NR,RT,1.6-2.0,0.132264529058116,0.138985979767749
ES,S4C2NR,RT,2.0-3.0,0.00601202404809619,0.0159303869123844
ES,S4C2R,Angle,Central <=15,0.732394366197183,0.768350041541858
ES,S4C2R,Angle,Shoulder 15-45,0.241448692152918,0.190770143982512
ES,S4C2R,Angle,Tail >45,0.0261569416498994,0.0408798144756318
ES,S4C2R,RT,0.3-1.0,0,0.00101117167678858
ES,S4C2R,RT,1.0-1.3,0.245472837022133,0.308133754471815
ES,S4C2R,RT,1.3-1.6,0.595573440643863,0.535940678865406
ES,S4C2R,RT,1.6-2.0,0.140845070422535,0.138984980598648
ES,S4C2R,RT,2.0-3.0,0.0181086519114688,0.0159294143873424
ES,S4C4NR,Angle,Central <=15,0.601202404809619,0.691953770954557
ES,S4C4NR,Angle,Shoulder 15-45,0.318637274549098,0.257623337054131
ES,S4C4NR,Angle,Tail >45,0.0801603206412826,0.0504228919913128
ES,S4C4NR,RT,0.3-1.0,0,0.0010114459079689
ES,S4C4NR,RT,1.0-1.3,0.316633266533066,0.308110807720935
ES,S4C4NR,RT,1.3-1.6,0.541082164328657,0.535853406836252
ES,S4C4NR,RT,1.6-2.0,0.128256513026052,0.139040696978713
ES,S4C4NR,RT,2.0-3.0,0.0140280561122244,0.0159836425561313
ES,S6C2NR,Angle,Central <=15,0.748,0.749289454440728
ES,S6C2NR,Angle,Shoulder 15-45,0.222,0.208686119193009
ES,S6C2NR,Angle,Tail >45,0.03,0.042024426366262
ES,S6C2NR,RT,0.3-1.0,0.004,0.000468229716420682
ES,S6C2NR,RT,1.0-1.3,0.366,0.221292929064348
ES,S6C2NR,RT,1.3-1.6,0.516,0.531010644569836
ES,S6C2NR,RT,1.6-2.0,0.106,0.209605581360417
ES,S6C2NR,RT,2.0-3.0,0.008,0.0376226152889775
ES,S6C2R,Angle,Central <=15,0.762,0.749587736187748
ES,S6C2R,Angle,Shoulder 15-45,0.232,0.208439049462757
ES,S6C2R,Angle,Tail >45,0.006,0.0419732143494948
ES,S6C2R,RT,0.3-1.0,0,0.000468229085684653
ES,S6C2R,RT,1.0-1.3,0.216,0.221292975378171
ES,S6C2R,RT,1.3-1.6,0.608,0.531011086836456
ES,S6C2R,RT,1.6-2.0,0.156,0.209605470628177
ES,S6C2R,RT,2.0-3.0,0.02,0.0376222380715118
ES,S6C4NR,Angle,Central <=15,0.618473895582329,0.700925463461639
ES,S6C4NR,Angle,Shoulder 15-45,0.283132530120482,0.249962587637991
ES,S6C4NR,Angle,Tail >45,0.0983935742971888,0.0491119489003727
ES,S6C4NR,RT,0.3-1.0,0.00200803212851406,0.000468333556403492
ES,S6C4NR,RT,1.0-1.3,0.15863453815261,0.221285304136419
ES,S6C4NR,RT,1.3-1.6,0.592369477911647,0.530937831609302
ES,S6C4NR,RT,1.6-2.0,0.20281124497992,0.209623813002381
ES,S6C4NR,RT,2.0-3.0,0.0441767068273092,0.0376847176954977
ES,S6C4R,Angle,Central <=15,0.546184738955823,0.67937814324798
ES,S6C4R,Angle,Shoulder 15-45,0.271084337349398,0.268613831816022
ES,S6C4R,Angle,Tail >45,0.182730923694779,0.0520080249359968
ES,S6C4R,RT,0.3-1.0,0,0.000468380004063559
ES,S6C4R,RT,1.0-1.3,0.0943775100401606,0.221281893546675
ES,S6C4R,RT,1.3-1.6,0.51004016064257,0.530905262730012
ES,S6C4R,RT,1.6-2.0,0.301204819277108,0.209631967580957
ES,S6C4R,RT,2.0-3.0,0.0943775100401606,0.037712496138292
ES,S6C6NR,Angle,Central <=15,0.44689378757515,0.211709492452038
ES,S6C6NR,Angle,Shoulder 15-45,0.246492985971944,0.308318045603214
ES,S6C6NR,Angle,Tail >45,0.306613226452906,0.479972461944748
ES,S6C6NR,RT,0.3-1.0,0,0.000468920631903783
ES,S6C6NR,RT,1.0-1.3,0.212424849699399,0.221242224205417
ES,S6C6NR,RT,1.3-1.6,0.539078156312625,0.530526427263291
ES,S6C6NR,RT,1.6-2.0,0.210420841683367,0.209726595166921
ES,S6C6NR,RT,2.0-3.0,0.0380761523046092,0.0380358327324675
