uid,Cond,Measure,Bin,Observed,Model
HC,S2C2NR,Angle,Central <=15,0.659318637274549,0.692995906429577
HC,S2C2NR,Angle,Shoulder 15-45,0.304609218436874,0.24769487320291
HC,S2C2NR,Angle,Tail >45,0.0360721442885772,0.059309220367514
HC,S2C2NR,RT,0.3-1.0,0.390781563126253,0.362483191117935
HC,S2C2NR,RT,1.0-1.3,0.509018036072144,0.530203020341468
HC,S2C2NR,RT,1.3-1.6,0.0781563126252505,0.0951094240186472
HC,S2C2NR,RT,1.6-2.0,0.0220440881763527,0.0113798981942995
HC,S2C2NR,RT,2.0-3.0,0,0.000824466327651024
HC,S4C2NR,Angle,Central <=15,0.571142284569138,0.623691650927522
HC,S4C2NR,Angle,Shoulder 15-45,0.348697394789579,0.307171040706844
HC,S4C2NR,Angle,Tail >45,0.0801603206412826,0.0691373083656339
HC,S4C2NR,RT,0.3-1.0,0.276553106212425,0.289969241437293
HC,S4C2NR,RT,1.0-1.3,0.535070140280561,0.551011270079166
HC,S4C2NR,RT,1.3-1.6,0.158316633266533,0.135224585897843
HC,S4C2NR,RT,1.6-2.0,0.0260521042084168,0.0216323122129625
HC,S4C2NR,RT,2.0-3.0,0.00400801603206413,0.0021625903727363
HC,S4C2R,Angle,Central <=15,0.674,0.691598332686159
HC,S4C2R,Angle,Shoulder 15-45,0.296,0.249429881033198
HC,S4C2R,Angle,Tail >45,0.03,0.0589717862806437
HC,S4C2R,RT,0.3-1.0,0.358,0.289973738637057
HC,S4C2R,RT,1.0-1.3,0.522,0.551050060990218
HC,S4C2R,RT,1.3-1.6,0.096,0.135207500204703
HC,S4C2R,RT,1.6-2.0,0.022,0.021612817508277
HC,S4C2R,RT,2.0-3.0,0.002,0.00215588265974557
HC,S4C4NR,Angle,Central <=15,0.56312625250501,0.616834226963151
HC,S4C4NR,Angle,Shoulder 15-45,0.344689378757515,0.312814425607496
HC,S4C4NR,Angle,Tail >45,0.0921843687374749,0.0703513474293516
HC,S4C4NR,RT,0.3-1.0,0.256513026052104,0.289968799383862
HC,S4C4NR,RT,1.0-1.3,0.577154308617234,0.551007457355057
HC,S4C4NR,RT,1.3-1.6,0.128256513026052,0.135226265083491
HC,S4C4NR,RT,1.6-2.0,0.030060120240481,0.0216342283432421
HC,S4C4NR,RT,2.0-3.0,0.00801603206412826,0.00216324983434568
HC,S6C2NR,Angle,Central <=15,0.576,0.636734427923137
HC,S6C2NR,Angle,Shoulder 15-45,0.34,0.296189976367157
HC,S6C2NR,Angle,Tail >45,0.084,0.0670755957097079
HC,S6C2NR,RT,0.3-1.0,0.228,0.215908011270956
HC,S6C2NR,RT,1.0-1.3,0.592,0.54833947597497
HC,S6C2NR,RT,1.3-1.6,0.152,0.188515560827861
HC,S6C2NR,RT,1.6-2.0,0.022,0.0413513916862406
HC,S6C2NR,RT,2.0-3.0,0.006,0.00588556023997326
HC,S6C2R,Angle,Central <=15,0.726,0.685898023229081
HC,S6C2R,Angle,Shoulder 15-45,0.252,0.255113360179964
HC,S6C2R,Angle,Tail >45,0.022,0.0589886165909559
HC,S6C2R,RT,0.3-1.0,0.318,0.21590916070726
HC,S6C2R,RT,1.0-1.3,0.514,0.548374537230124
HC,S6C2R,RT,1.3-1.6,0.128,0.18851062322469
HC,S6C2R,RT,1.6-2.0,0.034,0.0413313347328042
HC,S6C2R,RT,2.0-3.0,0.006,0.00587434410512225
HC,S6C4NR,Angle,Central <=15,0.516,0.595444046914322
HC,S6C4NR,Angle,Shoulder 15-45,0.342,0.329676907730962
HC,S6C4NR,Angle,Tail >45,0.142,0.074879045354716
HC,S6C4NR,RT,0.3-1.0,0.166,0.215907071395907
HC,S6C4NR,RT,1.0-1.3,0.608,0.548310812348528
HC,S6C4NR,RT,1.3-1.6,0.178,0.188519596451563
HC,S6C4NR,RT,1.6-2.0,0.036,0.0413677883571436
HC,S6C4NR,RT,2.0-3.0,0.012,0.00589473144685863
HC,S6C4R,Angle,Central <=15,0.622489959839357,0.679450252684962
HC,S6C4R,Angle,Shoulder 15-45,0.339357429718876,0.260431271397444
HC,S6C4R,Angle,Tail >45,0.0381526104417671,0.060118475917593
HC,S6C4R,RT,0.3-1.0,0.140562248995984,0.21590901063687
HC,S6C4R,RT,1.0-1.3,0.596385542168675,0.548369959570051
HC,S6C4R,RT,1.3-1.6,0.216867469879518,0.188511267898862
HC,S6C4R,RT,1.6-2.0,0.036144578313253,0.041333953410186
HC,S6C4R,RT,2.0-3.0,0.0100401606425703,0.00587580848402956
HC,S6C6NR,Angle,Central <=15,0.514,0.692116081582823
HC,S6C6NR,Angle,Shoulder 15-45,0.31,0.250033351721167
HC,S6C6NR,Angle,Tail >45,0.176,0.0578505666960096
HC,S6C6NR,RT,0.3-1.0,0.162,0.215909304743156
HC,S6C6NR,RT,1.0-1.3,0.566,0.548378930776877
HC,S6C6NR,RT,1.3-1.6,0.224,0.18851000448695
HC,S6C6NR,RT,1.6-2.0,0.038,0.041328821382225
HC,S6C6NR,RT,2.0-3.0,0.01,0.00587293861079158
