uid,Cond,Measure,Bin,Observed,Model
PG,S2C2NR,Angle,Central <=15,0.709418837675351,0.73139795232243
PG,S2C2NR,Angle,Shoulder 15-45,0.258517034068136,0.203868672618488
PG,S2C2NR,Angle,Tail >45,0.032064128256513,0.0647333750590836
PG,S2C2NR,RT,0.3-1.0,0.064128256513026,0.051531810096845
PG,S2C2NR,RT,1.0-1.3,0.390781563126253,0.411616121816661
PG,S2C2NR,RT,1.3-1.6,0.386773547094188,0.384404196293223
PG,S2C2NR,RT,1.6-2.0,0.130260521042084,0.130707407228042
PG,S2C2NR,RT,2.0-3.0,0.0280561122244489,0.0217404645652322
PG,S4C2NR,Angle,Central <=15,0.677354709418838,0.72781744248801
PG,S4C2NR,Angle,Shoulder 15-45,0.288577154308617,0.207192285492135
PG,S4C2NR,Angle,Tail >45,0.0340681362725451,0.0649902720198541
PG,S4C2NR,RT,0.3-1.0,0.0420841683366733,0.0466317832693729
PG,S4C2NR,RT,1.0-1.3,0.444889779559118,0.393728476800161
PG,S4C2NR,RT,1.3-1.6,0.354709418837675,0.390860617381534
PG,S4C2NR,RT,1.6-2.0,0.128256513026052,0.142924647268626
PG,S4C2NR,RT,2.0-3.0,0.030060120240481,0.0258544752803046
PG,S4C2R,Angle,Central <=15,0.771543086172345,0.729735409764195
PG,S4C2R,Angle,Shoulder 15-45,0.210420841683367,0.205478130791285
PG,S4C2R,Angle,Tail >45,0.0180360721442886,0.0647864594445243
PG,S4C2R,RT,0.3-1.0,0.0400801603206413,0.0466316817759728
PG,S4C2R,RT,1.0-1.3,0.408817635270541,0.393729492297334
PG,S4C2R,RT,1.3-1.6,0.372745490981964,0.390862116719453
PG,S4C2R,RT,1.6-2.0,0.146292585170341,0.142923688049608
PG,S4C2R,RT,2.0-3.0,0.032064128256513,0.025853021157636
PG,S4C4NR,Angle,Central <=15,0.512,0.681102587210278
PG,S4C4NR,Angle,Shoulder 15-45,0.304,0.2495263715755
PG,S4C4NR,Angle,Tail >45,0.184,0.0693710412142235
PG,S4C4NR,RT,0.3-1.0,0.04,0.0466342688982557
PG,S4C4NR,RT,1.0-1.3,0.368,0.393703606714985
PG,S4C4NR,RT,1.3-1.6,0.388,0.390823897756305
PG,S4C4NR,RT,1.6-2.0,0.16,0.142948138959048
PG,S4C4NR,RT,2.0-3.0,0.044,0.025890087671408
PG,S6C2NR,Angle,Central <=15,0.681362725450902,0.718612112299747
PG,S6C2NR,Angle,Shoulder 15-45,0.282565130260521,0.215804370513763
PG,S6C2NR,Angle,Tail >45,0.0360721442885772,0.0655835171864928
PG,S6C2NR,RT,0.3-1.0,0.0440881763527054,0.0328662546757887
PG,S6C2NR,RT,1.0-1.3,0.390781563126253,0.33359623920313
PG,S6C2NR,RT,1.3-1.6,0.386773547094188,0.403240677956028
PG,S6C2NR,RT,1.6-2.0,0.152304609218437,0.186114603442798
PG,S6C2NR,RT,2.0-3.0,0.0260521042084168,0.0441822247222581
PG,S6C2R,Angle,Central <=15,0.773547094188377,0.720305523216923
PG,S6C2R,Angle,Shoulder 15-45,0.208416833667335,0.214305563414677
PG,S6C2R,Angle,Tail >45,0.0180360721442886,0.0653889133683994
PG,S6C2R,RT,0.3-1.0,0.0240480961923848,0.032866159648712
PG,S6C2R,RT,1.0-1.3,0.298597194388778,0.333596922379901
PG,S6C2R,RT,1.3-1.6,0.442885771543086,0.403242373289244
PG,S6C2R,RT,1.6-2.0,0.204408817635271,0.186114125519066
PG,S6C2R,RT,2.0-3.0,0.030060120240481,0.0441804191630771
PG,S6C4NR,Angle,Central <=15,0.460921843687375,0.678131549095366
PG,S6C4NR,Angle,Shoulder 15-45,0.260521042084168,0.25213085521593
PG,S6C4NR,Angle,Tail >45,0.278557114228457,0.0697375956887042
PG,S6C4NR,RT,0.3-1.0,0.0160320641282565,0.0328685393857889
PG,S6C4NR,RT,1.0-1.3,0.354709418837675,0.333579813781026
PG,S6C4NR,RT,1.3-1.6,0.462925851703407,0.403199917545284
PG,S6C4NR,RT,1.6-2.0,0.124248496993988,0.186126093995302
PG,S6C4NR,RT,2.0-3.0,0.0420841683366733,0.0442256352926004
PG,S6C4R,Angle,Central <=15,0.663326653306613,0.71993159806334
PG,S6C4R,Angle,Shoulder 15-45,0.220440881763527,0.214636279984576
PG,S6C4R,Angle,Tail >45,0.11623246492986,0.0654321219520846
PG,S6C4R,RT,0.3-1.0,0.0100200400801603,0.0328661806243331
PG,S6C4R,RT,1.0-1.3,0.298597194388778,0.333596771580214
PG,S6C4R,RT,1.3-1.6,0.390781563126253,0.403241999073173
PG,S6C4R,RT,1.6-2.0,0.234468937875752,0.186114231012513
PG,S6C4R,RT,2.0-3.0,0.0661322645290581,0.0441808177097681
PG,S6C6NR,Angle,Central <=15,0.346693386773547,0.195775568499698
PG,S6C6NR,Angle,Shoulder 15-45,0.24248496993988,0.290144800006896
PG,S6C6NR,Angle,Tail >45,0.410821643286573,0.514079631493406
PG,S6C6NR,RT,0.3-1.0,0.0140280561122244,0.0328831706510986
PG,S6C6NR,RT,1.0-1.3,0.31062124248497,0.333474673958993
PG,S6C6NR,RT,1.3-1.6,0.434869739478958,0.402938993237498
PG,S6C6NR,RT,1.6-2.0,0.202404809619238,0.186199503899489
PG,S6C6NR,RT,2.0-3.0,0.0380761523046092,0.0445036582529191
