uid,Cond,Measure,Bin,Observed,Model
YL,S2C2NR,Angle,Central <=15,0.65,0.722029775991624
YL,S2C2NR,Angle,Shoulder 15-45,0.316,0.231142406816575
YL,S2C2NR,Angle,Tail >45,0.034,0.0468278171918013
YL,S2C2NR,RT,0.3-1.0,0.034,0.055741105690016
YL,S2C2NR,RT,1.0-1.3,0.536,0.515340200266277
YL,S2C2NR,RT,1.3-1.6,0.364,0.368818160482701
YL,S2C2NR,RT,1.6-2.0,0.066,0.0586802468920479
YL,S2C2NR,RT,2.0-3.0,0,0.00142028666895883
YL,S4C2NR,Angle,Central <=15,0.544,0.627074993939278
YL,S4C2NR,Angle,Shoulder 15-45,0.364,0.313311159461592
YL,S4C2NR,Angle,Tail >45,0.092,0.0596138465991304
YL,S4C2NR,RT,0.3-1.0,0.018,0.0338737446573398
YL,S4C2NR,RT,1.0-1.3,0.444,0.422284418401035
YL,S4C2NR,RT,1.3-1.6,0.422,0.430706581961218
YL,S4C2NR,RT,1.6-2.0,0.104,0.108178297414083
YL,S4C2NR,RT,2.0-3.0,0.012,0.00495695756632436
YL,S4C2R,Angle,Central <=15,0.758,0.763962124348876
YL,S4C2R,Angle,Shoulder 15-45,0.242,0.195283329912972
YL,S4C2R,Angle,Tail >45,0,0.0407545457381536
YL,S4C2R,RT,0.3-1.0,0.036,0.0338737213965465
YL,S4C2R,RT,1.0-1.3,0.424,0.422284569290445
YL,S4C2R,RT,1.3-1.6,0.446,0.430706836236751
YL,S4C2R,RT,1.6-2.0,0.094,0.108178008940161
YL,S4C2R,RT,2.0-3.0,0,0.00495686413609649
YL,S4C4NR,Angle,Central <=15,0.486,0.554627365513107
YL,S4C4NR,Angle,Shoulder 15-45,0.37,0.365369864639465
YL,S4C4NR,Angle,Tail >45,0.144,0.0800027698474277
YL,S4C4NR,RT,0.3-1.0,0.014,0.0338737561924795
YL,S4C4NR,RT,1.0-1.3,0.398,0.422284343574229
YL,S4C4NR,RT,1.3-1.6,0.458,0.430706455864693
YL,S4C4NR,RT,1.6-2.0,0.122,0.10817844046952
YL,S4C4NR,RT,2.0-3.0,0.008,0.00495700389907847
YL,S6C2NR,Angle,Central <=15,0.55,0.614429084946156
YL,S6C2NR,Angle,Shoulder 15-45,0.338,0.323490427579236
YL,S6C2NR,Angle,Tail >45,0.112,0.0620804874746098
YL,S6C2NR,RT,0.3-1.0,0.02,0.0159645914209747
YL,S6C2NR,RT,1.0-1.3,0.34,0.292820840995956
YL,S6C2NR,RT,1.3-1.6,0.476,0.464585191647329
YL,S6C2NR,RT,1.6-2.0,0.152,0.205845720389479
YL,S6C2NR,RT,2.0-3.0,0.012,0.020783655546263
YL,S6C2R,Angle,Central <=15,0.77,0.745977403155259
YL,S6C2R,Angle,Shoulder 15-45,0.222,0.212545818752814
YL,S6C2R,Angle,Tail >45,0.008,0.0414767780919278
YL,S6C2R,RT,0.3-1.0,0.032,0.0159645752329909
YL,S6C2R,RT,1.0-1.3,0.392,0.292820898015766
YL,S6C2R,RT,1.3-1.6,0.452,0.464585619364024
YL,S6C2R,RT,1.6-2.0,0.12,0.205845528279953
YL,S6C2R,RT,2.0-3.0,0.004,0.0207833791072667
YL,S6C4NR,Angle,Central <=15,0.328657314629259,0.284368412632386
YL,S6C4NR,Angle,Shoulder 15-45,0.372745490981964,0.374586028344752
YL,S6C4NR,Angle,Tail >45,0.298597194388778,0.341045559022861
YL,S6C4NR,RT,0.3-1.0,0.00200400801603206,0.0159646176311046
YL,S6C4NR,RT,1.0-1.3,0.180360721442886,0.292820748674376
YL,S6C4NR,RT,1.3-1.6,0.561122244488978,0.464584499127442
YL,S6C4NR,RT,1.6-2.0,0.212424849699399,0.205846031433125
YL,S6C4NR,RT,2.0-3.0,0.0440881763527054,0.0207841031339505
YL,S6C4R,Angle,Central <=15,0.64128256513026,0.689191967037968
YL,S6C4R,Angle,Shoulder 15-45,0.274549098196393,0.261000322982209
YL,S6C4R,Angle,Tail >45,0.0841683366733467,0.0498077099798203
YL,S6C4R,RT,0.3-1.0,0.0100200400801603,0.0159645822537414
YL,S6C4R,RT,1.0-1.3,0.218436873747495,0.2928208732862
YL,S6C4R,RT,1.3-1.6,0.470941883767535,0.4645854338627
YL,S6C4R,RT,1.6-2.0,0.272545090180361,0.205845611598169
YL,S6C4R,RT,2.0-3.0,0.0280561122244489,0.020783498999187
YL,S6C6NR,Angle,Central <=15,0.306613226452906,0.195870241213646
YL,S6C6NR,Angle,Shoulder 15-45,0.31062124248497,0.290224503176656
YL,S6C6NR,Angle,Tail >45,0.382765531062124,0.513905255609697
YL,S6C6NR,RT,0.3-1.0,0,0.0159646176831247
YL,S6C6NR,RT,1.0-1.3,0.204408817635271,0.292820748491144
YL,S6C6NR,RT,1.3-1.6,0.529058116232465,0.46458449775297
YL,S6C6NR,RT,1.6-2.0,0.236472945891784,0.205846032050487
YL,S6C6NR,RT,2.0-3.0,0.030060120240481,0.0207841040222741
