uid,Cond,Measure,Bin,Observed,Model
AQ,S2C2NR,Angle,Central <=15,0.640562248995984,0.722403406221081
AQ,S2C2NR,Angle,Shoulder 15-45,0.327309236947791,0.226853708889336
AQ,S2C2NR,Angle,Tail >45,0.0321285140562249,0.0507428848895817
AQ,S2C2NR,RT,0.3-1.0,0.00401606425702811,6.7249855047244e-06
AQ,S2C2NR,RT,1.0-1.3,0.0401606425702811,0.0270098561622101
AQ,S2C2NR,RT,1.3-1.6,0.263052208835341,0.284351380715381
AQ,S2C2NR,RT,1.6-2.0,0.522088353413655,0.510997467630502
AQ,S2C2NR,RT,2.0-3.0,0.170682730923695,0.177634570506401
AQ,S4C2NR,Angle,Central <=15,0.656626506024096,0.751779776685961
AQ,S4C2NR,Angle,Shoulder 15-45,0.311244979919679,0.211010853354933
AQ,S4C2NR,Angle,Tail >45,0.0321285140562249,0.0372093699591055
AQ,S4C2NR,RT,0.3-1.0,0,4.90182887042449e-06
AQ,S4C2NR,RT,1.0-1.3,0.0321285140562249,0.0218312004057331
AQ,S4C2NR,RT,1.3-1.6,0.323293172690763,0.253077140058285
AQ,S4C2NR,RT,1.6-2.0,0.461847389558233,0.513069986865413
AQ,S4C2NR,RT,2.0-3.0,0.182730923694779,0.212016770841698
AQ,S4C2R,Angle,Central <=15,0.7374749498998,0.806756155811264
AQ,S4C2R,Angle,Shoulder 15-45,0.240480961923848,0.176976486293468
AQ,S4C2R,Angle,Tail >45,0.0220440881763527,0.0162673578952674
AQ,S4C2R,RT,0.3-1.0,0,4.90155191672592e-06
AQ,S4C2R,RT,1.0-1.3,0.0180360721442886,0.0218306086419516
AQ,S4C2R,RT,1.3-1.6,0.24248496993988,0.253077932094129
AQ,S4C2R,RT,1.6-2.0,0.501002004008016,0.513081444481466
AQ,S4C2R,RT,2.0-3.0,0.238476953907816,0.212005113230536
AQ,S4C4NR,Angle,Central <=15,0.532,0.599569516167402
AQ,S4C4NR,Angle,Shoulder 15-45,0.352,0.292827342902824
AQ,S4C4NR,Angle,Tail >45,0.116,0.107603140929775
AQ,S4C4NR,RT,0.3-1.0,0,4.90255184128099e-06
AQ,S4C4NR,RT,1.0-1.3,0.02,0.0218327451531038
AQ,S4C4NR,RT,1.3-1.6,0.262,0.253075072611677
AQ,S4C4NR,RT,1.6-2.0,0.506,0.513040078454717
AQ,S4C4NR,RT,2.0-3.0,0.212,0.212047201228661
AQ,S6C2NR,Angle,Central <=15,0.639278557114228,0.713843079445237
AQ,S6C2NR,Angle,Shoulder 15-45,0.314629258517034,0.235465110144497
AQ,S6C2NR,Angle,Tail >45,0.0460921843687375,0.050691810410267
AQ,S6C2NR,RT,0.3-1.0,0.00200400801603206,3.29469810060382e-06
AQ,S6C2NR,RT,1.0-1.3,0.0260521042084168,0.0166260069738162
AQ,S6C2NR,RT,1.3-1.6,0.2625250501002,0.216583594809224
AQ,S6C2NR,RT,1.6-2.0,0.537074148296593,0.507831963914978
AQ,S6C2NR,RT,2.0-3.0,0.172344689378758,0.258955139603882
AQ,S6C2R,Angle,Central <=15,0.77,0.806806573689506
AQ,S6C2R,Angle,Shoulder 15-45,0.206,0.179463886331645
AQ,S6C2R,Angle,Tail >45,0.024,0.0137295399788487
AQ,S6C2R,RT,0.3-1.0,0,3.29435955761777e-06
AQ,S6C2R,RT,1.0-1.3,0.024,0.0166251096072967
AQ,S6C2R,RT,1.3-1.6,0.214,0.216583491497886
AQ,S6C2R,RT,1.6-2.0,0.534,0.507852009656245
AQ,S6C2R,RT,2.0-3.0,0.228,0.258936094879015
AQ,S6C4NR,Angle,Central <=15,0.48995983935743,0.548045660476889
AQ,S6C4NR,Angle,Shoulder 15-45,0.359437751004016,0.315200896032614
AQ,S6C4NR,Angle,Tail >45,0.150602409638554,0.136753443490498
AQ,S6C4NR,RT,0.3-1.0,0,3.29525019185678e-06
AQ,S6C4NR,RT,1.0-1.3,0.0160642570281124,0.0166274703661839
AQ,S6C4NR,RT,1.3-1.6,0.190763052208835,0.216583763440015
AQ,S6C4NR,RT,1.6-2.0,0.530120481927711,0.507799275595469
AQ,S6C4NR,RT,2.0-3.0,0.263052208835341,0.25898619534814
AQ,S6C4R,Angle,Central <=15,0.717434869739479,0.752289828806649
AQ,S6C4R,Angle,Shoulder 15-45,0.224448897795591,0.212947447463035
AQ,S6C4R,Angle,Tail >45,0.0581162324649299,0.0347627237303148
AQ,S6C4R,RT,0.3-1.0,0,3.29455978014093e-06
AQ,S6C4R,RT,1.0-1.3,0.0100200400801603,0.01662564033233
AQ,S6C4R,RT,1.3-1.6,0.18436873747495,0.216583552593295
AQ,S6C4R,RT,1.6-2.0,0.488977955911824,0.50784015404799
AQ,S6C4R,RT,2.0-3.0,0.316633266533066,0.258947358466603
AQ,S6C6NR,Angle,Central <=15,0.412474849094567,0.417467308885576
AQ,S6C6NR,Angle,Shoulder 15-45,0.301810865191147,0.342417651387637
AQ,S6C6NR,Angle,Tail >45,0.285714285714286,0.240115039726786
AQ,S6C6NR,RT,0.3-1.0,0,3.29559945271707e-06
AQ,S6C6NR,RT,1.0-1.3,0.0221327967806841,0.0166283961011292
AQ,S6C6NR,RT,1.3-1.6,0.209255533199195,0.216583870325395
AQ,S6C6NR,RT,1.6-2.0,0.52112676056338,0.507778599218717
AQ,S6C6NR,RT,2.0-3.0,0.24748490945674,0.259005838755305
