uid,Cond,Measure,Bin,Observed,Model
ES,S2C2NR,Angle,Central <=15,0.728915662650602,0.823833559486545
ES,S2C2NR,Angle,Shoulder 15-45,0.259036144578313,0.150408744562004
ES,S2C2NR,Angle,Tail >45,0.0120481927710843,0.0257576959514511
ES,S2C2NR,RT,0.3-1.0,0.00602409638554217,0.00307729026786659
ES,S2C2NR,RT,1.0-1.3,0.439759036144578,0.439123354853262
ES,S2C2NR,RT,1.3-1.6,0.487951807228916,0.490400867763315
ES,S2C2NR,RT,1.6-2.0,0.0642570281124498,0.063707081046773
ES,S2C2NR,RT,2.0-3.0,0.00200803212851406,0.00369140606878302
ES,S4C2NR,Angle,Central <=15,0.723446893787575,0.786083199756947
ES,S4C2NR,Angle,Shoulder 15-45,0.240480961923848,0.181039362957533
ES,S4C2NR,Angle,Tail >45,0.0360721442885772,0.0328774372855224
ES,S4C2NR,RT,0.3-1.0,0.00200400801603206,0.00121609198767111
ES,S4C2NR,RT,1.0-1.3,0.360721442885772,0.314467392071698
ES,S4C2NR,RT,1.3-1.6,0.498997995991984,0.536169824734401
ES,S4C2NR,RT,1.6-2.0,0.132264529058116,0.133130514064865
ES,S4C2NR,RT,2.0-3.0,0.00601202404809619,0.0150161771413684
ES,S4C2R,Angle,Central <=15,0.732394366197183,0.805093525444667
ES,S4C2R,Angle,Shoulder 15-45,0.241448692152918,0.170735784326189
ES,S4C2R,Angle,Tail >45,0.0261569416498994,0.0241706902291446
ES,S4C2R,RT,0.3-1.0,0,0.0012160252341644
ES,S4C2R,RT,1.0-1.3,0.245472837022133,0.31447369022632
ES,S4C2R,RT,1.3-1.6,0.595573440643863,0.536188068412154
ES,S4C2R,RT,1.6-2.0,0.140845070422535,0.133117971819961
ES,S4C2R,RT,2.0-3.0,0.0181086519114688,0.0150042443074011
ES,S4C4NR,Angle,Central <=15,0.601202404809619,0.677589361712861
ES,S4C4NR,Angle,Shoulder 15-45,0.318637274549098,0.237284575158313
ES,S4C4NR,Angle,Tail >45,0.0801603206412826,0.0851260631288269
ES,S4C4NR,RT,0.3-1.0,0,0.00121646611070107
ES,S4C4NR,RT,1.0-1.3,0.316633266533066,0.314432093532628
ES,S4C4NR,RT,1.3-1.6,0.541082164328657,0.536067576530518
ES,S4C4NR,RT,1.6-2.0,0.128256513026052,0.133200803847521
ES,S4C4NR,RT,2.0-3.0,0.0140280561122244,0.0150830599786329
ES,S6C2NR,Angle,Central <=15,0.748,0.784770063749015
ES,S6C2NR,Angle,Shoulder 15-45,0.222,0.191129515108243
ES,S6C2NR,Angle,Tail >45,0.03,0.0241004211427417
ES,S6C2NR,RT,0.3-1.0,0.004,0.000543696016735755
ES,S6C2NR,RT,1.0-1.3,0.366,0.226070375325596
ES,S6C2NR,RT,1.3-1.6,0.516,0.530274134626188
ES,S6C2NR,RT,1.6-2.0,0.106,0.205812763136145
ES,S6C2NR,RT,2.0-3.0,0.008,0.0372990308953354
ES,S6C2R,Angle,Central <=15,0.762,0.816468115402842
ES,S6C2R,Angle,Shoulder 15-45,0.232,0.174643428466479
ES,S6C2R,Angle,Tail >45,0.006,0.00888845613067723
ES,S6C2R,RT,0.3-1.0,0,0.00054362955916731
ES,S6C2R,RT,1.0-1.3,0.216,0.226076828766664
ES,S6C2R,RT,1.3-1.6,0.608,0.530316065573052
ES,S6C2R,RT,1.6-2.0,0.156,0.205801624073027
ES,S6C2R,RT,2.0-3.0,0.02,0.0372618520280887
ES,S6C4NR,Angle,Central <=15,0.618473895582329,0.67010810634558
ES,S6C4NR,Angle,Shoulder 15-45,0.283132530120482,0.247870823617331
ES,S6C4NR,Angle,Tail >45,0.0983935742971888,0.0820210700370883
ES,S6C4NR,RT,0.3-1.0,0.00200803212851406,0.000543931666912226
ES,S6C4NR,RT,1.0-1.3,0.15863453815261,0.226047493114952
ES,S6C4NR,RT,1.3-1.6,0.592369477911647,0.530125457749962
ES,S6C4NR,RT,1.6-2.0,0.20281124497992,0.205852254908693
ES,S6C4NR,RT,2.0-3.0,0.0441767068273092,0.0374308625594812
ES,S6C4R,Angle,Central <=15,0.546184738955823,0.579518422217905
ES,S6C4R,Angle,Shoulder 15-45,0.271084337349398,0.287092496232042
ES,S6C4R,Angle,Tail >45,0.182730923694779,0.133389081550052
ES,S6C4R,RT,0.3-1.0,0,0.000544108792004385
ES,S6C4R,RT,1.0-1.3,0.0943775100401606,0.226030295463745
ES,S6C4R,RT,1.3-1.6,0.51004016064257,0.530013714876974
ES,S6C4R,RT,1.6-2.0,0.301204819277108,0.205881927655141
ES,S6C4R,RT,2.0-3.0,0.0943775100401606,0.0375299532121343
ES,S6C6NR,Angle,Central <=15,0.44689378757515,0.429640833602791
ES,S6C6NR,Angle,Shoulder 15-45,0.246492985971944,0.327434285586849
ES,S6C6NR,Angle,Tail >45,0.306613226452906,0.242924880810362
ES,S6C6NR,RT,0.3-1.0,0,0.000544364080756598
ES,S6C6NR,RT,1.0-1.3,0.212424849699399,0.226005514713141
ES,S6C6NR,RT,1.3-1.6,0.539078156312625,0.529852695287351
ES,S6C6NR,RT,1.6-2.0,0.210420841683367,0.205924653738584
ES,S6C6NR,RT,2.0-3.0,0.0380761523046092,0.0376727721801685
