uid,Cond,Measure,Bin,Observed,Model
HC,S2C2NR,Angle,Central <=15,0.659318637274549,0.725367890530472
HC,S2C2NR,Angle,Shoulder 15-45,0.304609218436874,0.234950295004334
HC,S2C2NR,Angle,Tail >45,0.0360721442885772,0.0396818144651956
HC,S2C2NR,RT,0.3-1.0,0.390781563126253,0.380497082516442
HC,S2C2NR,RT,1.0-1.3,0.509018036072144,0.52521649501907
HC,S2C2NR,RT,1.3-1.6,0.0781563126252505,0.0831664961066867
HC,S2C2NR,RT,1.6-2.0,0.0220440881763527,0.0101852038110774
HC,S2C2NR,RT,2.0-3.0,0,0.000934722546725206
HC,S4C2NR,Angle,Central <=15,0.571142284569138,0.634309576974827
HC,S4C2NR,Angle,Shoulder 15-45,0.348697394789579,0.288874577377855
HC,S4C2NR,Angle,Tail >45,0.0801603206412826,0.0768158456473181
HC,S4C2NR,RT,0.3-1.0,0.276553106212425,0.294831507811258
HC,S4C2NR,RT,1.0-1.3,0.535070140280561,0.553773640356636
HC,S4C2NR,RT,1.3-1.6,0.158316633266533,0.127106305520722
HC,S4C2NR,RT,1.6-2.0,0.0260521042084168,0.0215111852495471
HC,S4C2NR,RT,2.0-3.0,0.00400801603206413,0.00277736106183657
HC,S4C2R,Angle,Central <=15,0.674,0.729739401568251
HC,S4C2R,Angle,Shoulder 15-45,0.296,0.236971721350382
HC,S4C2R,Angle,Tail >45,0.03,0.0332888770813674
HC,S4C2R,RT,0.3-1.0,0.358,0.294841317409475
HC,S4C2R,RT,1.0-1.3,0.522,0.553837665336926
HC,S4C2R,RT,1.3-1.6,0.096,0.12707786742253
HC,S4C2R,RT,1.6-2.0,0.022,0.0214794272585315
HC,S4C2R,RT,2.0-3.0,0.002,0.00276372257253856
HC,S4C4NR,Angle,Central <=15,0.56312625250501,0.620518943871405
HC,S4C4NR,Angle,Shoulder 15-45,0.344689378757515,0.295511407169748
HC,S4C4NR,Angle,Tail >45,0.0921843687374749,0.0839696489588453
HC,S4C4NR,RT,0.3-1.0,0.256513026052104,0.294830160274899
HC,S4C4NR,RT,1.0-1.3,0.577154308617234,0.553764845853202
HC,S4C4NR,RT,1.3-1.6,0.128256513026052,0.127110211315754
HC,S4C4NR,RT,1.6-2.0,0.030060120240481,0.0215155475426852
HC,S4C4NR,RT,2.0-3.0,0.00801603206412826,0.00277923501345774
HC,S6C2NR,Angle,Central <=15,0.576,0.635664956879066
HC,S6C2NR,Angle,Shoulder 15-45,0.34,0.292624422732226
HC,S6C2NR,Angle,Tail >45,0.084,0.0717106203887068
HC,S6C2NR,RT,0.3-1.0,0.228,0.21794976914879
HC,S6C2NR,RT,1.0-1.3,0.592,0.553118776759559
HC,S6C2NR,RT,1.3-1.6,0.152,0.180024609776785
HC,S6C2NR,RT,1.6-2.0,0.022,0.0414675801830855
HC,S6C2NR,RT,2.0-3.0,0.006,0.00743926413177942
HC,S6C2R,Angle,Central <=15,0.726,0.755588270159296
HC,S6C2R,Angle,Shoulder 15-45,0.252,0.22744118658164
HC,S6C2R,Angle,Tail >45,0.022,0.0169705432590638
HC,S6C2R,RT,0.3-1.0,0.318,0.217955872952842
HC,S6C2R,RT,1.0-1.3,0.514,0.553223237970348
HC,S6C2R,RT,1.3-1.6,0.128,0.180009621330939
HC,S6C2R,RT,1.6-2.0,0.034,0.0414107806384884
HC,S6C2R,RT,2.0-3.0,0.006,0.00740048710738186
HC,S6C4NR,Angle,Central <=15,0.516,0.567201912933701
HC,S6C4NR,Angle,Shoulder 15-45,0.342,0.322126707347364
HC,S6C4NR,Angle,Tail >45,0.142,0.110671379718936
HC,S6C4NR,RT,0.3-1.0,0.166,0.217946595867022
HC,S6C4NR,RT,1.0-1.3,0.608,0.553064480247905
HC,S6C4NR,RT,1.3-1.6,0.178,0.180032396279173
HC,S6C4NR,RT,1.6-2.0,0.036,0.0414971009815252
HC,S6C4NR,RT,2.0-3.0,0.012,0.00745942662437676
HC,S6C4R,Angle,Central <=15,0.622489959839357,0.714535497335032
HC,S6C4R,Angle,Shoulder 15-45,0.339357429718876,0.251186692837328
HC,S6C4R,Angle,Tail >45,0.0381526104417671,0.0342778098276394
HC,S6C4R,RT,0.3-1.0,0.140562248995984,0.217953724265729
HC,S6C4R,RT,1.0-1.3,0.596385542168675,0.553186462775304
HC,S6C4R,RT,1.3-1.6,0.216867469879518,0.18001489880081
HC,S6C4R,RT,1.6-2.0,0.036144578313253,0.0414307771787354
HC,S6C4R,RT,2.0-3.0,0.0100401606425703,0.00741413697942098
HC,S6C6NR,Angle,Central <=15,0.514,0.53321423835921
HC,S6C6NR,Angle,Shoulder 15-45,0.31,0.333657934514953
HC,S6C6NR,Angle,Tail >45,0.176,0.133127827125836
HC,S6C6NR,RT,0.3-1.0,0.162,0.217945141296694
HC,S6C6NR,RT,1.0-1.3,0.566,0.553039596108124
HC,S6C6NR,RT,1.3-1.6,0.224,0.180035963269758
HC,S6C6NR,RT,1.6-2.0,0.038,0.0415106295234682
HC,S6C6NR,RT,2.0-3.0,0.01,0.00746866980195479
