uid,Cond,Measure,Bin,Observed,Model
PG,S2C2NR,Angle,Central <=15,0.709418837675351,0.792515118513815
PG,S2C2NR,Angle,Shoulder 15-45,0.258517034068136,0.174031713360182
PG,S2C2NR,Angle,Tail >45,0.032064128256513,0.0334531681260021
PG,S2C2NR,RT,0.3-1.0,0.064128256513026,0.0483472431067565
PG,S2C2NR,RT,1.0-1.3,0.390781563126253,0.406354498902634
PG,S2C2NR,RT,1.3-1.6,0.386773547094188,0.390558967211947
PG,S2C2NR,RT,1.6-2.0,0.130260521042084,0.131795128660363
PG,S2C2NR,RT,2.0-3.0,0.0280561122244489,0.0229441621182974
PG,S4C2NR,Angle,Central <=15,0.677354709418838,0.763736794498022
PG,S4C2NR,Angle,Shoulder 15-45,0.288577154308617,0.190959736194451
PG,S4C2NR,Angle,Tail >45,0.0340681362725451,0.0453034693075256
PG,S4C2NR,RT,0.3-1.0,0.0420841683366733,0.0440317362399052
PG,S4C2NR,RT,1.0-1.3,0.444889779559118,0.389818293642669
PG,S4C2NR,RT,1.3-1.6,0.354709418837675,0.396049752124346
PG,S4C2NR,RT,1.6-2.0,0.128256513026052,0.143145459601495
PG,S4C2NR,RT,2.0-3.0,0.030060120240481,0.026954758391584
PG,S4C2R,Angle,Central <=15,0.771543086172345,0.827683936553714
PG,S4C2R,Angle,Shoulder 15-45,0.210420841683367,0.156012290168206
PG,S4C2R,Angle,Tail >45,0.0180360721442886,0.016303773278077
PG,S4C2R,RT,0.3-1.0,0.0400801603206413,0.0440292038736252
PG,S4C2R,RT,1.0-1.3,0.408817635270541,0.389849482924526
PG,S4C2R,RT,1.3-1.6,0.372745490981964,0.396095253174665
PG,S4C2R,RT,1.6-2.0,0.146292585170341,0.143117270844726
PG,S4C2R,RT,2.0-3.0,0.032064128256513,0.0269087891824553
PG,S4C4NR,Angle,Central <=15,0.512,0.562562341819483
PG,S4C4NR,Angle,Shoulder 15-45,0.304,0.287264448376236
PG,S4C4NR,Angle,Tail >45,0.184,0.150173209804284
PG,S4C4NR,RT,0.3-1.0,0.04,0.0440393013735611
PG,S4C4NR,RT,1.0-1.3,0.368,0.389725119865848
PG,S4C4NR,RT,1.3-1.6,0.388,0.395913821621647
PG,S4C4NR,RT,1.6-2.0,0.16,0.143229656289094
PG,S4C4NR,RT,2.0-3.0,0.044,0.0270921008498516
PG,S6C2NR,Angle,Central <=15,0.681362725450902,0.76411610996343
PG,S6C2NR,Angle,Shoulder 15-45,0.282565130260521,0.195570267435044
PG,S6C2NR,Angle,Tail >45,0.0360721442885772,0.0403136226015249
PG,S6C2NR,RT,0.3-1.0,0.0440881763527054,0.0312034273902981
PG,S6C2NR,RT,1.0-1.3,0.390781563126253,0.331440320719217
PG,S6C2NR,RT,1.3-1.6,0.386773547094188,0.406732562791333
PG,S6C2NR,RT,1.6-2.0,0.152304609218437,0.185171001637275
PG,S6C2NR,RT,2.0-3.0,0.0260521042084168,0.0454526874618776
PG,S6C2R,Angle,Central <=15,0.773547094188377,0.823089481699473
PG,S6C2R,Angle,Shoulder 15-45,0.208416833667335,0.164093684989464
PG,S6C2R,Angle,Tail >45,0.0180360721442886,0.012816833311062
PG,S6C2R,RT,0.3-1.0,0.0240480961923848,0.0312008810891603
PG,S6C2R,RT,1.0-1.3,0.298597194388778,0.331462832472305
PG,S6C2R,RT,1.3-1.6,0.442885771543086,0.406785711761872
PG,S6C2R,RT,1.6-2.0,0.204408817635271,0.185156538150737
PG,S6C2R,RT,2.0-3.0,0.030060120240481,0.0453940365259244
PG,S6C4NR,Angle,Central <=15,0.460921843687375,0.471139115252927
PG,S6C4NR,Angle,Shoulder 15-45,0.260521042084168,0.318065193565786
PG,S6C4NR,Angle,Tail >45,0.278557114228457,0.210795691181286
PG,S6C4NR,RT,0.3-1.0,0.0160320641282565,0.0312149906534426
PG,S6C4NR,RT,1.0-1.3,0.354709418837675,0.331338105048711
PG,S6C4NR,RT,1.3-1.6,0.462925851703407,0.406491231154594
PG,S6C4NR,RT,1.6-2.0,0.124248496993988,0.185236644712932
PG,S6C4NR,RT,2.0-3.0,0.0420841683366733,0.0457190284303196
PG,S6C4R,Angle,Central <=15,0.663326653306613,0.691823501804837
PG,S6C4R,Angle,Shoulder 15-45,0.220440881763527,0.232482280870339
PG,S6C4R,Angle,Tail >45,0.11623246492986,0.0756942173248237
PG,S6C4R,RT,0.3-1.0,0.0100200400801603,0.0312064935715803
PG,S6C4R,RT,1.0-1.3,0.298597194388778,0.331413213544693
PG,S6C4R,RT,1.3-1.6,0.390781563126253,0.406668563943863
PG,S6C4R,RT,1.6-2.0,0.234468937875752,0.185188415998114
PG,S6C4R,RT,2.0-3.0,0.0661322645290581,0.04552331294175
PG,S6C6NR,Angle,Central <=15,0.346693386773547,0.311645906671432
PG,S6C6NR,Angle,Shoulder 15-45,0.24248496993988,0.319172677877892
PG,S6C6NR,Angle,Tail >45,0.410821643286573,0.369181415450677
PG,S6C6NR,RT,0.3-1.0,0.0140280561122244,0.0312193723856109
PG,S6C6NR,RT,1.0-1.3,0.31062124248497,0.331299390368604
PG,S6C6NR,RT,1.3-1.6,0.434869739478958,0.40639981778151
PG,S6C6NR,RT,1.6-2.0,0.202404809619238,0.185261470856393
PG,S6C6NR,RT,2.0-3.0,0.0380761523046092,0.0458199486078828
