uid,Cond,Measure,Bin,Observed,Model
YL,S2C2NR,Angle,Central <=15,0.65,0.748658373650658
YL,S2C2NR,Angle,Shoulder 15-45,0.316,0.210008251662422
YL,S2C2NR,Angle,Tail >45,0.034,0.0413333746869202
YL,S2C2NR,RT,0.3-1.0,0.034,0.0594168140451353
YL,S2C2NR,RT,1.0-1.3,0.536,0.483046822310175
YL,S2C2NR,RT,1.3-1.6,0.364,0.379730998548058
YL,S2C2NR,RT,1.6-2.0,0.066,0.0753807311461238
YL,S2C2NR,RT,2.0-3.0,0,0.00242463395050819
YL,S4C2NR,Angle,Central <=15,0.544,0.635290939889715
YL,S4C2NR,Angle,Shoulder 15-45,0.364,0.280075758681595
YL,S4C2NR,Angle,Tail >45,0.092,0.0846333014286898
YL,S4C2NR,RT,0.3-1.0,0.018,0.0367485201487235
YL,S4C2NR,RT,1.0-1.3,0.444,0.395275674471402
YL,S4C2NR,RT,1.3-1.6,0.422,0.431515027055039
YL,S4C2NR,RT,1.6-2.0,0.104,0.129121843272474
YL,S4C2NR,RT,2.0-3.0,0.012,0.00733893505236117
YL,S4C2R,Angle,Central <=15,0.758,0.837669433077451
YL,S4C2R,Angle,Shoulder 15-45,0.242,0.15158663025425
YL,S4C2R,Angle,Tail >45,0,0.0107439366682998
YL,S4C2R,RT,0.3-1.0,0.036,0.0367485201487236
YL,S4C2R,RT,1.0-1.3,0.424,0.395275674471402
YL,S4C2R,RT,1.3-1.6,0.446,0.43151502705504
YL,S4C2R,RT,1.6-2.0,0.094,0.129121843272474
YL,S4C2R,RT,2.0-3.0,0,0.00733893505236118
YL,S4C4NR,Angle,Central <=15,0.486,0.546887776970163
YL,S4C4NR,Angle,Shoulder 15-45,0.37,0.319871056619467
YL,S4C4NR,Angle,Tail >45,0.144,0.133241166410371
YL,S4C4NR,RT,0.3-1.0,0.014,0.0367485201487236
YL,S4C4NR,RT,1.0-1.3,0.398,0.395275674471403
YL,S4C4NR,RT,1.3-1.6,0.458,0.43151502705504
YL,S4C4NR,RT,1.6-2.0,0.122,0.129121843272474
YL,S4C4NR,RT,2.0-3.0,0.008,0.00733893505236118
YL,S6C2NR,Angle,Central <=15,0.55,0.608209328698217
YL,S6C2NR,Angle,Shoulder 15-45,0.338,0.296871970994249
YL,S6C2NR,Angle,Tail >45,0.112,0.0949187003075333
YL,S6C2NR,RT,0.3-1.0,0.02,0.0180215007804052
YL,S6C2NR,RT,1.0-1.3,0.34,0.276836501970944
YL,S6C2NR,RT,1.3-1.6,0.476,0.453537064818149
YL,S6C2NR,RT,1.6-2.0,0.152,0.225690810244975
YL,S6C2NR,RT,2.0-3.0,0.012,0.0259141221855268
YL,S6C2R,Angle,Central <=15,0.77,0.83525136292424
YL,S6C2R,Angle,Shoulder 15-45,0.222,0.157876388013087
YL,S6C2R,Angle,Tail >45,0.008,0.00687224906267191
YL,S6C2R,RT,0.3-1.0,0.032,0.0180215007804052
YL,S6C2R,RT,1.0-1.3,0.392,0.276836501970943
YL,S6C2R,RT,1.3-1.6,0.452,0.453537064818149
YL,S6C2R,RT,1.6-2.0,0.12,0.225690810244975
YL,S6C2R,RT,2.0-3.0,0.004,0.0259141221855268
YL,S6C4NR,Angle,Central <=15,0.328657314629259,0.3730240169625
YL,S6C4NR,Angle,Shoulder 15-45,0.372745490981964,0.346457031863951
YL,S6C4NR,Angle,Tail >45,0.298597194388778,0.280518951173547
YL,S6C4NR,RT,0.3-1.0,0.00200400801603206,0.0180215007804052
YL,S6C4NR,RT,1.0-1.3,0.180360721442886,0.276836501970943
YL,S6C4NR,RT,1.3-1.6,0.561122244488978,0.453537064818149
YL,S6C4NR,RT,1.6-2.0,0.212424849699399,0.225690810244975
YL,S6C4NR,RT,2.0-3.0,0.0440881763527054,0.0259141221855268
YL,S6C4R,Angle,Central <=15,0.64128256513026,0.677511049674777
YL,S6C4R,Angle,Shoulder 15-45,0.274549098196393,0.260163952956219
YL,S6C4R,Angle,Tail >45,0.0841683366733467,0.0623249973690026
YL,S6C4R,RT,0.3-1.0,0.0100200400801603,0.0180215007804052
YL,S6C4R,RT,1.0-1.3,0.218436873747495,0.276836501970943
YL,S6C4R,RT,1.3-1.6,0.470941883767535,0.453537064818149
YL,S6C4R,RT,1.6-2.0,0.272545090180361,0.225690810244975
YL,S6C4R,RT,2.0-3.0,0.0280561122244489,0.0259141221855268
YL,S6C6NR,Angle,Central <=15,0.306613226452906,0.306224479903745
YL,S6C6NR,Angle,Shoulder 15-45,0.31062124248497,0.330888809508771
YL,S6C6NR,Angle,Tail >45,0.382765531062124,0.362886710587483
YL,S6C6NR,RT,0.3-1.0,0,0.0180215007804052
YL,S6C6NR,RT,1.0-1.3,0.204408817635271,0.276836501970943
YL,S6C6NR,RT,1.3-1.6,0.529058116232465,0.453537064818149
YL,S6C6NR,RT,1.6-2.0,0.236472945891784,0.225690810244975
YL,S6C6NR,RT,2.0-3.0,0.030060120240481,0.0259141221855268
