uid,Measure,GroupCount,MAE,MaxAbsError
AQ,Angle,27,0.0441977183624366,0.105242426734547
AQ,RT,45,0.0165427750958563,0.0792880213989372
ES,Angle,27,0.0576150929535682,0.235184295123113
ES,RT,45,0.0263305013399928,0.144707070935652
HC,Angle,27,0.047930703446661,0.178116081582823
HC,RT,45,0.0239471539123218,0.10209083929274
PG,Angle,27,0.0664163706617349,0.217209705407991
PG,RT,45,0.0205387286216204,0.0618775970013136
YL,Angle,27,0.0447792973491167,0.131139724547573
YL,RT,45,0.0270667013112052,0.112460027231491
