uid,Measure,GroupCount,MAE,MaxAbsError
AQ,Angle,27,0.0438556388843139,0.100455528058455
AQ,RT,45,0.0163208954081344,0.0866104502251248
ES,Angle,27,0.0445451520318049,0.108627400016309
ES,RT,45,0.0260633931588558,0.139929624674404
HC,Angle,27,0.0388607434219367,0.092045537495675
HC,RT,45,0.0227425233522979,0.100044127047158
PG,Angle,27,0.0452096711073899,0.0976174181141663
PG,RT,45,0.0205748381681206,0.0609881477189442
YL,Angle,27,0.0424375763309056,0.105991748337578
YL,RT,45,0.0301677630052333,0.115163498029057
