uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
AQ,S2C2NR,Central,Observed,319,NaN,1.72904952978714,1.38280000019074,1.7030999994278,2.111
AQ,S2C2NR,Central,H0a POPCDM,NaN,5.64314676320018,1.74294623974669,1.40012567707688,1.72012567707688,2.12012567707688
AQ,S2C2NR,Shoulder,Observed,163,NaN,1.76549202455919,1.42072000045776,1.7782000002861,2.1147
AQ,S2C2NR,Shoulder,H0a POPCDM,NaN,2.14577432186761,1.74572646898191,1.41012567707688,1.72012567707688,2.12012567707688
AQ,S2C2NR,Tail,Observed,16,NaN,1.80506249994039,1.30072999982834,1.82075,2.32960999984742
AQ,S2C2NR,Tail,H0a POPCDM,NaN,0.128905375459142,1.74701856907152,1.41012567707688,1.72012567707688,2.12012567707688
AQ,S4C2NR,Central,Observed,327,NaN,1.72868042817393,1.38527999973298,1.70080000019073,2.13503999996185
AQ,S4C2NR,Central,H0a POPCDM,NaN,5.61953438484142,1.78078595782518,1.43012567707688,1.75012567707688,2.17012567707688
AQ,S4C2NR,Shoulder,Observed,155,NaN,1.76310967744089,1.41080000019073,1.746,2.18859999990463
AQ,S4C2NR,Shoulder,H0a POPCDM,NaN,2.15261945237327,1.78377116814046,1.43012567707688,1.76012567707688,2.17012567707688
AQ,S4C2NR,Tail,Observed,16,NaN,1.84331249991059,1.3572799996376,1.87705000019074,2.14495000033379
AQ,S4C2NR,Tail,H0a POPCDM,NaN,0.145277808553318,1.7848366793256,1.43012567707688,1.76012567707688,2.17012567707688
AQ,S4C2R,Central,Observed,368,NaN,1.80321548915687,1.45187999992371,1.76835000038146,2.22485000019073
AQ,S4C2R,Central,H0a POPCDM,NaN,5.64692214396527,1.78078525314339,1.43012567707688,1.75012567707688,2.17012567707688
AQ,S4C2R,Shoulder,Observed,120,NaN,1.82231499994993,1.48324999976158,1.78699999976158,2.31425
AQ,S4C2R,Shoulder,H0a POPCDM,NaN,2.15764471303865,1.78377816007409,1.43012567707688,1.76012567707688,2.17012567707688
AQ,S4C2R,Tail,Observed,11,NaN,1.93313636385311,1.51823999996186,2.02480000019073,2.39160000038147
AQ,S4C2R,Tail,H0a POPCDM,NaN,0.11286478876408,1.78576866025492,1.43012567707688,1.76012567707688,2.17012567707688
AQ,S4C4NR,Central,Observed,266,NaN,1.76951954883203,1.45614000015258,1.74394999980926,2.14820999975205
AQ,S4C4NR,Central,H0a POPCDM,NaN,4.99198453371292,1.78080422297951,1.43012567707688,1.75012567707688,2.17012567707688
AQ,S4C4NR,Shoulder,Observed,176,NaN,1.78528124999729,1.44298999986649,1.77720000004769,2.15651999998093
AQ,S4C4NR,Shoulder,H0a POPCDM,NaN,2.03747306276962,1.78360150906874,1.43012567707688,1.76012567707688,2.17012567707688
AQ,S4C4NR,Tail,Observed,58,NaN,1.91495517244832,1.52013999986649,1.87374999952317,2.24874000000954
AQ,S4C4NR,Tail,H0a POPCDM,NaN,0.887974049285459,1.78212238489097,1.43012567707688,1.75012567707688,2.17012567707688
AQ,S6C2NR,Central,Observed,319,NaN,1.7570432602141,1.43448000011444,1.72289999961853,2.17095999984741
AQ,S6C2NR,Central,H0a POPCDM,NaN,5.57556163188805,1.82327761778672,1.46012567707688,1.80012567707688,2.22012567707688
AQ,S6C2NR,Shoulder,Observed,157,NaN,1.76333503184653,1.45161999998092,1.73010000038147,2.09457999973297
AQ,S6C2NR,Shoulder,H0a POPCDM,NaN,2.15667282639767,1.8264910172484,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C2NR,Tail,Observed,23,NaN,1.819708695619,1.43107999992371,1.76830000019073,2.32839999952317
AQ,S6C2NR,Tail,H0a POPCDM,NaN,0.18252195464582,1.82700933600219,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C2R,Central,Observed,385,NaN,1.80624987014671,1.45419999980927,1.79080000019073,2.16969999980927
AQ,S6C2R,Central,H0a POPCDM,NaN,5.63143503037712,1.82327603926715,1.46012567707688,1.80012567707688,2.22012567707688
AQ,S6C2R,Shoulder,Observed,103,NaN,1.79645048538227,1.37487999992371,1.80890000009537,2.16771999998093
AQ,S6C2R,Shoulder,H0a POPCDM,NaN,2.16707078874557,1.82650638488391,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C2R,Tail,Observed,12,NaN,1.93719166660309,1.52293999986649,1.91924999952316,2.45208000020981
AQ,S6C2R,Tail,H0a POPCDM,NaN,0.116250593808849,1.82863926156178,1.46012567707688,1.80012567707688,2.23012567707688
AQ,S6C4NR,Central,Observed,244,NaN,1.8019057377186,1.46672000017166,1.78725,2.20623000025749
