"subexperiment","participant_id","redundancy","tab_away_count","target_orientation","started_outof_center","too_fast_trigger","num_items","response_RT_from_start","response_error_deg","duration_ms","response_orientation_360","response_RT","leave_center_RT","cue_type","too_slow_trigger","trial_event"
3,"651033d039c135459ac83d8f",1,2,125,"[True]","[False]",6,"[852.0999999940395]","[4.082907858168483]",50,309.082907858168,"[849.9000000059605]","[None]","R-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,52,"[False]","[False]",6,"[3655.100000023842]","[1.457236202771469]",150,53.4572362027714,"[2283.100000023842]","[1372]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,160,"[True]","[False]",4,"[3392.7999999821186]","[35.539183728628245]",150,124.460816271372,"[2099.5]","[None]","NR-cue","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,6,"[False]","[False]",6,"[3823.699999988079]","[24.28971963408901]",150,30.289719634089,"[1749.5999999940395]","[2074.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,133,"[True]","[False]",4,"[2270.2000000178814]","[9.633633998940468]",50,303.36636600106,"[2133.5]","[None]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,120,"[False]","[False]",4,"[3095.5]","[59.28142706105905]",150,60.718572938941,"[1916.4000000059605]","[1179.0999999940395]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,104,"[False]","[False]",4,"[4901.9000000059605]","[41.399903265995874]",50,62.6000967340041,"[3683.0999999940395]","[1218.800000011921]","Baseline","[True]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,72,"[False]","[False]",4,"[1852.300000011921]","[51.432560138400845]",150,123.432560138401,"[1166.300000011921]","[686]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,170,"[False]","[False]",6,"[2542.199999988079]","[39.097283605208304]",50,130.902716394792,"[1516.2999999821186]","[1025.9000000059605]","Baseline","[False]","orientation_response_event"
3,"651033d039c135459ac83d8f",0,2,180,"[False]","[False]",6,"[4984.799999982119]","[12.959594926160207]",50,347.04040507384,"[2366.699999988079]","[2618.0999999940395]","NR-cue","[True]","orientation_response_event"
