"prolific_id","n_trials","n_stimulus_wheel","n_orientation_response"
"56b10faa6399f90011da710d",360,360,0
"5730f0a7dd6617000ed945c9",360,0,360
"5d8a29c082fec30001d9c24a",360,360,0
"5ebb96b6cd673a0008ace9ce",360,360,0
"5ee92b925f0f482bb1e73668",360,0,360
"5f6660dbdd831c230e132024",360,360,0
"5ff4bcf08e8e87733ac1e9a8",360,360,0
"6111d08247ef6871bf11ec6b",360,0,360
"649dba79b97070557ebe3d0b",360,360,0
"651033d039c135459ac83d8f",360,0,360
"65eabcbd33cf1f693633dfba",360,0,360
"664b44d8a11f1bcbba9e0494",360,0,360
"67722f8e3a4f08a288a1f640",360,360,0
"6926c95802f66337764785d9",360,0,360
"692e35caecdc86e21cb15fb7",360,0,360
"5ed94af267e7bf10f180c5b0",350,350,0
"5f4520ebb012170878012efc",350,350,0
"60ebfc77adae0f59618d6471",350,350,0
"662bf98a6f25e5ccdce46ebc",350,350,0
"66c19251237692d2ae3bb12f",350,350,0
"66c9efce03794720af423f39",350,350,0
"6719637f62cec965e1fcb4fa",350,350,0
"671e4b927fa293418ae656d8",350,350,0
"67d548b5aa5737666a77a6d2",350,350,0
