rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,experiment,experiment_type,subject_id,unique_id,browser_window_height,browser_window_width,futurestudyAlert,studyresultsEmail,tab_away_count,trial_event,trial_number,trial_condition,cue_type,set_size,target,duration_ms,is_practice,redundancy,target_orientation,num_items,target_color,target_angle_norotation,target_angle_rotated,rotation,response_radians,response_orientation,response_orientation_360,response_error_deg,response_RT,response_RT_from_start,leave_center_RT,points,too_slow_trigger,too_fast_trigger,started_outof_center,timeout,mouse_movement_rt,mouse_movement_coords,target_patchN,all_patch_angles,all_patch_colors,all_patch_orientations,patch_angles_from_center,patch_imaginary_circle,patch_indiv_size_radius,outer_wheel_radius,inner_wheel_radius,wheel_canvas_height_width,source,value
,,,confidence-wheel,5,5170,0.0-5.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,1.0,,R-cue,6.0,5.0,100.0,False,1.0,,6.0,"[0,249.37733486213727,157.721254130339]",162.0,328.0,[166],[0.5356876743876341],[329.3073571204103],,[1.3073571204103018],[35.100000001490116],[236.60000000149012],[201.5],[99],[false],[true],[false],[false],"[26,51,76,101,126,150,176,202,227]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(2,-1)"",""(37,28)"",""(80,52)""]",6.0,"[162,289,346,162,118,162]","[[0,249.37733486213727,157.721254130339],[204.60226761402984,173.28241139939973,254.99999999999997],[254.99999999999997,132.6448690995999,237.03773814224297],[0,249.37733486213727,157.721254130339],[194.3810464076294,223.1830732080957,0],[0,249.37733486213727,157.721254130339]]",,"[134,194,14,74,314,254]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,10,7511,0.0-10.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,2.0,,R-cue,6.0,1.0,200.0,False,1.0,,6.0,"[254.99999999999997,127.65419070828133,179.8353457860729]",7.0,173.0,[166],[0.8853872260026057],[309.2710487152551],,[136.27104871525512],[70.39999999850988],[261.3999999985099],[191],[24],[false],[true],[false],[false],"[25,51,76,101,126,161,187,211,236,261]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-1,-6)"",""(7,6)"",""(14,17)"",""(39,54)"",""(83,107)"",""(139,170)""]",2.0,"[7,7,316,219,44,7]","[[254.99999999999997,127.65419070828133,179.8353457860729],[254.99999999999997,127.65419070828133,179.8353457860729],[254.99999999999997,150.83071758690568,254.99999999999997],[0,235.8917112640523,254.99999999999997],[254.99999999999997,143.94594530044728,48.294291724936826],[254.99999999999997,127.65419070828133,179.8353457860729]]",,"[330,270,30,210,90,150]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,15,10166,0.0-15.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,3.0,,NR-cue,6.0,1.0,100.0,False,0.0,,6.0,"[235.03750787788755,208.3948506053053,0]",103.0,269.0,[166],[0.5452271555372752],[328.7607851117913],,[59.76078511179128],[49.30000000447035],[585.4000000059605],[536.1000000014901],[67],[false],[false],[false],[false],"[26,51,76,101,126,151,176,201,226,251,276,301,325,351,376,401,426,451,477,502,526,551,576]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-3,-2)"",""(-3,-2)"",""(-3,-2)"",""(-3,-2)"",""(-3,-2)"",""(-3,-2)"",""(-2,-2)"",""(1,0)"",""(28,16)"",""(54,30)"",""(144,86)""]",2.0,"[133,103,246,133,133,66]","[[142.14097066019073,235.34000745550577,37.32315319907818],[235.03750787788755,208.3948506053053,0],[0,213.98502964837334,254.99999999999997],[142.14097066019073,235.34000745550577,37.32315319907818],[142.14097066019073,235.34000745550577,37.32315319907818],[254.99999999999997,166.32412173435858,0]]",,"[19,79,259,199,139,319]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,20,12431,0.0-20.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,4.0,,R-cue,6.0,5.0,50.0,False,1.0,,6.0,"[254.99999999999997,170.87974280283288,0]",70.0,236.0,[166],[0.4993467216801301],[331.3895403340348],,[95.38954033403479],[71.59999999403954],[671.5999999940395],[600],[47],[false],[false],[false],[false],"[26,52,76,101,126,151,177,201,226,251,276,301,327,352,377,401,427,451,476,501,525,550,576,600,626,650]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(1,-3)"",""(9,1)"",""(18,7)"",""(49,24)"",""(69,34)"",""(138,73)""]",6.0,"[13,210,70,174,70,70]","[[254.99999999999997,127.9910157973561,162.36790568394593],[0,241.4279644519829,254.99999999999997],[254.99999999999997,170.87974280283288,0],[0,251.0748217718652,194.20418654126073],[254.99999999999997,170.87974280283288,0],[254.99999999999997,170.87974280283288,0]]",,"[310,70,190,250,10,130]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,25,14606,0.0-25.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,5.0,,R-cue,6.0,1.0,250.0,False,1.0,,6.0,"[202.05348779458745,174.1904211801114,254.99999999999997]",288.0,94.0,[166],[0.7456839565642095],[317.2754564382542],,[-136.7245435617458],[84.5],[635.7000000029802],[551.2000000029802],[24],[false],[false],[false],[false],"[26,51,76,101,126,151,177,201,226,251,276,301,326,352,376,401,426,451,476,501,526,551,576,600,626]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-4,-5)"",""(-3,-5)"",""(-2,-2)"",""(-1,-1)"",""(1,2)"",""(5,6)"",""(40,40)"",""(59,57)"",""(105,99)"",""(128,120)""]",2.0,"[288,288,288,22,112,235]","[[202.05348779458745,174.1904211801114,254.99999999999997],[202.05348779458745,174.1904211801114,254.99999999999997],[202.05348779458745,174.1904211801114,254.99999999999997],[254.99999999999997,130.19684608625317,134.957530249193],[211.73322813882052,217.54479691915927,0],[0,223.6834055439719,254.99999999999997]]",,"[47,107,287,227,347,167]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,30,16569,0.0-30.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,6.0,,NR-cue,6.0,2.0,250.0,False,0.0,,6.0,"[254.99999999999997,145.118615027254,254.99999999999997]",324.0,130.0,[166],[0.7246621452501578],[318.47991750426974],,[-171.52008249573026],[135.39999999850988],[675.7000000029802],[540.3000000044703],[5],[false],[false],[false],[false],"[26,52,76,101,126,151,176,201,227,252,275,301,326,352,376,401,426,451,476,501,526,550,575,601,626,651,676]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-3,-4)"",""(-3,-3)"",""(0,1)"",""(1,2)"",""(8,10)"",""(12,14)"",""(23,25)"",""(37,38)"",""(65,65)"",""(77,75)"",""(111,105)"",""(130,120)"",""(157,139)""]",3.0,"[141,354,324,201,354,354]","[[104.86675393393053,240.5408823179081,82.59791850712752],[254.99999999999997,129.7401681541928,215.97180411260678],[254.99999999999997,145.118615027254,254.99999999999997],[0,245.8130424943353,254.99999999999997],[254.99999999999997,129.7401681541928,215.97180411260678],[254.99999999999997,129.7401681541928,215.97180411260678]]",,"[151,211,31,91,331,271]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,35,18761,0.0-35.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,7.0,,R-cue,6.0,4.0,350.0,False,1.0,,6.0,"[0,250.671873023558,179.3284415939549]",169.0,335.0,[166],[0.5679607439945007],[327.4582464400049],,[-7.5417535599950725],[100.69999999552965],[766],[665.3000000044703],[96],[false],[false],[false],[false],"[26,51,75,101,126,151,176,201,227,251,276,302,326,351,376,401,426,451,476,501,526,550,576,601,626,651,676,701,726,751]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-2,-6)"",""(-2,-6)"",""(-1,-6)"",""(-1,-5)"",""(-1,-5)"",""(-1,-5)"",""(-1,-5)"",""(-1,-5)"",""(0,-4)"",""(1,-4)"",""(2,-2)"",""(5,1)"",""(23,15)"",""(35,24)"",""(77,54)"",""(100,70)"",""(159,106)""]",5.0,"[234,169,169,353,169,278]","[[0,224.52049121688856,254.99999999999997],[0,250.671873023558,179.3284415939549],[0,250.671873023558,179.3284415939549],[254.99999999999997,130.04264317959579,218.65665164934558],[0,250.671873023558,179.3284415939549],[174.49376499932902,183.48720745008254,254.99999999999997]]",,"[262,202,82,22,142,322]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,40,21012,0.0-40.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,8.0,,R-cue,6.0,5.0,150.0,False,1.0,,6.0,"[254.99999999999997,195.188986991524,0]",91.0,257.0,[166],[0.5590798535093613],[327.96708398312126],,[70.96708398312126],[79.89999999850988],[625.5999999940395],[545.6999999955297],[61],[false],[false],[false],[false],"[26,51,77,102,127,151,177,202,227,251,276,301,326,352,376,401,425,451,475,501,526,551,575,601,625]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-1,1)"",""(-1,2)"",""(0,2)"",""(3,4)"",""(8,6)"",""(30,21)"",""(48,33)"",""(105,66)"",""(134,85)"",""(187,117)""]",6.0,"[273,91,235,91,156,91]","[[158.97879641439323,188.25050308195094,254.99999999999997],[254.99999999999997,195.188986991524,0],[0,223.6834055439719,254.99999999999997],[254.99999999999997,195.188986991524,0],[0,247.59779504002384,138.30854534373302],[254.99999999999997,195.188986991524,0]]",,"[36,156,336,96,216,276]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,45,23607,0.0-45.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,9.0,,NR-cue,6.0,4.0,350.0,False,0.0,,6.0,"[133.7508415136246,236.7289657530137,51.77464027768778]",135.0,301.0,[166],[0.5170319524915414],[330.3762512488262],,[29.37625124882618],[50.399999998509884],[921],[870.6000000014901],[84],[false],[false],[false],[false],"[26,51,76,102,126,151,177,201,226,251,276,301,326,352,377,402,427,451,476,501,526,551,577,602,627,652,676,701,726,751,776,802,826,851,875,901]","[""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-7,-4)"",""(-6,-3)"",""(7,4)"",""(55,32)"",""(116,66)""]",5.0,"[337,337,268,337,135,226]","[[254.99999999999997,137.0693786116789,254.99999999999997],[254.99999999999997,137.0693786116789,254.99999999999997],[141.86219164732907,193.0585026642692,254.99999999999997],[254.99999999999997,137.0693786116789,254.99999999999997],[133.7508415136246,236.7289657530137,51.77464027768778],[0,230.8833971120676,254.99999999999997]]",,"[175,355,55,235,295,115]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
,,,confidence-wheel,50,25510,0.0-50.0,Daz2026_Encoding_Online_SubExp1,practice_effect,5823,,920,1470,False,False,0,stimulus_wheel_display_event,10.0,,NR-cue,6.0,1.0,200.0,False,0.0,,6.0,"[242.15487497323255,205.18624226679162,0]",100.0,266.0,[166],[0.662215501256172],[322.05784664988107],,[56.05784664988107],[85.70000000298023],[581.5],[495.79999999701977],[69],[false],[false],[false],[false],"[26,51,77,102,126,151,176,201,226,252,276,301,326,351,376,401,426,451,476,500,526,552,576]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(1,-6)"",""(1,-5)"",""(3,-4)"",""(3,-3)"",""(6,1)"",""(11,6)"",""(39,31)"",""(63,49)"",""(113,90)"",""(140,112)""]",2.0,"[58,100,181,329,329,329]","[[254.99999999999997,157.539563307609,0],[242.15487497323255,205.18624226679162,0],[0,250.90598009217365,214.3121082430185],[254.99999999999997,141.82368454163958,254.99999999999997],[254.99999999999997,141.82368454163958,254.99999999999997],[254.99999999999997,141.82368454163958,254.99999999999997]]",,"[93,153,213,333,273,33]",114.0,25.0,227.0,197.0,"[874,1396]",sub1,
