"value","trial_type","trial_index","time_elapsed","internal_node_id","experiment","experiment_type","subject_id","unique_id","browser_window_height","browser_window_width","futurestudyAlert","studyresultsEmail","tab_away_count","rt","stimulus","response","trial_event","trial_number","trial_condition","cue_type","set_size","target","duration_ms","is_practice","redundancy","target_orientation","num_items","target_color","target_angle_norotation","target_angle_rotated","rotation","response_radians","response_orientation","response_orientation_360","response_error_deg","response_RT","response_RT_from_start","leave_center_RT","points","too_slow_trigger","too_fast_trigger","started_outof_center","timeout","mouse_movement_rt","mouse_movement_coords","target_patchN","all_patch_angles","all_patch_colors","all_patch_orientations","patch_angles_from_center","patch_imaginary_circle","patch_indiv_size_radius","outer_wheel_radius","inner_wheel_radius","wheel_canvas_height_width"
"","call-function","0","0","0.0-0.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","734","0.0-1.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","733","Excellent! <p> You are now ready to begin the main experiment. <p> Proceed at your own pace. As a rough guideline, the experiment should take under 45mins to complete. <p> When ready, press any key to start the main experiment.","n","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","AdvanceWithPlot","2","1821","0.0-2.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","3","2136","0.0-3.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","314","<div style=""position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; font-size:25px;"">+</div>","n","fixation","1","Baseline","Baseline","6","4","150","false","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence-wheel","4","2363","0.0-4.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","color_patch_display_event","1","Baseline","Baseline","6","4","150","false","null","null","6","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[343,231,82,16,199,137]","[[254.99999999999997,133.99669992615298,244.67779680199263],[0,226.97879806772292,254.99999999999997],[254.99999999999997,184.81674994951064,0],[254.99999999999997,128.49590394738033,153.41563786780392],[0,246.61888262552694,254.99999999999997],[124.83482655074766,238.0594783547703,63.36864320793679]]","null","[229,289,169,49,109,349]","114","25","","","[874,1396]"
"","confidence-wheel","5","2577","0.0-5.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","retention_interval","1","Baseline","Baseline","6","4","150","false","null","null","6","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[343,231,82,16,199,137]","[[254.99999999999997,133.99669992615298,244.67779680199263],[0,226.97879806772292,254.99999999999997],[254.99999999999997,184.81674994951064,0],[254.99999999999997,128.49590394738033,153.41563786780392],[0,246.61888262552694,254.99999999999997],[124.83482655074766,238.0594783547703,63.36864320793679]]","null","[229,289,169,49,109,349]","114","25","","","[874,1396]"
"","confidence-wheel","6","4148","0.0-6.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","stimulus_wheel_display_event","1","Baseline","Baseline","6","4","150","false","0","null","6","[0,246.61888262552694,254.99999999999997]","199","58","[219]","[0.7399748839758712]","[317.6025622024998]","null","[-100.39743779750017]","[129.30000000447035]","[866.2000000029802]","[736.8999999985099]","[44]","[false]","[false]","[false]","[false]","[27,51,76,101,126,151,176,201,226,251,276,301,326,350,376,401,426,451,476,501,526,552,576,601,625,651,676,701,726,751,777,801,826,850]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-1,-4)"",""(-1,-4)"",""(-1,-4)"",""(-1,-4)"",""(-1,-2)"",""(2,2)"",""(11,10)"",""(18,17)"",""(43,40)"",""(57,53)"",""(83,77)"",""(104,95)"",""(141,128)""]","5","[343,231,82,16,199,137]","[[254.99999999999997,133.99669992615298,244.67779680199263],[0,226.97879806772292,254.99999999999997],[254.99999999999997,184.81674994951064,0],[254.99999999999997,128.49590394738033,153.41563786780392],[0,246.61888262552694,254.99999999999997],[124.83482655074766,238.0594783547703,63.36864320793679]]","null","[229,289,169,49,109,349]","114","25","227","197","[874,1396]"
"","AdvanceWithPlot","7","4559","0.0-7.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","8","4673","0.0-8.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","113","<div style=""position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; font-size:25px;"">+</div>","n","fixation","2","Baseline","Baseline","6","5","50","false","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence-wheel","9","4883","0.0-9.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","color_patch_display_event","2","Baseline","Baseline","6","5","50","false","null","null","6","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[258,139,323,75,184,4]","[[99.49595329964659,202.6944874954541,254.99999999999997],[115.26850643018952,239.33046154665684,73.45579443538075],[254.99999999999997,145.80425417583214,254.99999999999997],[254.99999999999997,176.66224181102984,0],[0,250.57295232275467,222.6719126120019],[254.99999999999997,127.80905304237561,188.37532394841043]]","null","[174,234,114,294,354,54]","114","25","","","[874,1396]"
"","confidence-wheel","10","5122","0.0-10.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","retention_interval","2","Baseline","Baseline","6","5","50","false","null","null","6","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[258,139,323,75,184,4]","[[99.49595329964659,202.6944874954541,254.99999999999997],[115.26850643018952,239.33046154665684,73.45579443538075],[254.99999999999997,145.80425417583214,254.99999999999997],[254.99999999999997,176.66224181102984,0],[0,250.57295232275467,222.6719126120019],[254.99999999999997,127.80905304237561,188.37532394841043]]","null","[174,234,114,294,354,54]","114","25","","","[874,1396]"
"","confidence-wheel","11","6278","0.0-11.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","stimulus_wheel_display_event","2","Baseline","Baseline","6","5","50","false","0","null","6","[254.99999999999997,127.80905304237561,188.37532394841043]","4","223","[219]","[0.7821619287407301]","[315.1854225873439]","null","[92.18542258734391]","[114.79999999701977]","[695.6000000014901]","[580.8000000044703]","[49]","[false]","[false]","[false]","[false]","[26,51,76,102,127,152,176,202,226,251,276,302,326,352,376,402,427,451,476,500,526,552,577,600,626,651,676]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,1)"",""(12,16)"",""(22,25)"",""(49,51)"",""(60,61)"",""(96,100)"",""(112,115)""]","6","[258,139,323,75,184,4]","[[99.49595329964659,202.6944874954541,254.99999999999997],[115.26850643018952,239.33046154665684,73.45579443538075],[254.99999999999997,145.80425417583214,254.99999999999997],[254.99999999999997,176.66224181102984,0],[0,250.57295232275467,222.6719126120019],[254.99999999999997,127.80905304237561,188.37532394841043]]","null","[174,234,114,294,354,54]","114","25","227","197","[874,1396]"
"","AdvanceWithPlot","12","6739","0.0-12.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","13","6889","0.0-13.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","149","<div style=""position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; font-size:25px;"">+</div>","n","fixation","3","NR-cue","NR-cue","4","1","150","false","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence-wheel","14","7086","0.0-14.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","color_patch_display_event","3","NR-cue","NR-cue","4","1","150","false","null","null","4","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[277,151,277,12]","[[171.49856835178326,184.43505639850514,254.99999999999997],[0,245.6519374356232,121.25074896101466],[171.49856835178326,184.43505639850514,254.99999999999997],[254.99999999999997,127.87323268713395,165.31759881658613]]","null","[341,71,161,251]","114","25","","","[874,1396]"
"","confidence-wheel","15","7341","0.0-15.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","retention_interval","3","NR-cue","NR-cue","4","1","150","false","null","null","4","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[277,151,277,12]","[[171.49856835178326,184.43505639850514,254.99999999999997],[0,245.6519374356232,121.25074896101466],[171.49856835178326,184.43505639850514,254.99999999999997],[254.99999999999997,127.87323268713395,165.31759881658613]]","null","[341,71,161,251]","114","25","","","[874,1396]"
"","confidence-wheel","16","8466","0.0-16.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","stimulus_wheel_display_event","3","NR-cue","NR-cue","4","1","150","false","0","null","4","[0,245.6519374356232,121.25074896101466]","151","10","[219]","[0.7273987701894953]","[318.32312044513543]","null","[-51.67687955486457]","[100]","[645.6000000014901]","[545.6000000014901]","[71]","[false]","[false]","[false]","[false]","[26,51,76,101,126,151,176,201,226,251,276,301,326,351,376,401,426,452,476,501,526,551,576,601,626]","[""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(0,0)"",""(-2,-9)"",""(-2,-9)"",""(3,-5)"",""(9,1)"",""(37,25)"",""(53,40)"",""(108,90)"",""(128,108)""]","2","[277,151,277,12]","[[171.49856835178326,184.43505639850514,254.99999999999997],[0,245.6519374356232,121.25074896101466],[171.49856835178326,184.43505639850514,254.99999999999997],[254.99999999999997,127.87323268713395,165.31759881658613]]","null","[341,71,161,251]","114","25","227","197","[874,1396]"
"","AdvanceWithPlot","17","9140","0.0-17.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","18","9216","0.0-18.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","75","<div style=""position: fixed; inset: 0; display: flex; align-items: center; justify-content: center; font-size:25px;"">+</div>","n","fixation","4","Baseline","Baseline","4","3","50","false","null","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","confidence-wheel","19","9427","0.0-19.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","color_patch_display_event","4","Baseline","Baseline","4","3","50","false","null","null","4","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[28,158,316,108]","[[254.99999999999997,132.8177125449908,115.46407504635546],[0,248.2589375494372,144.88826238820684],[254.99999999999997,150.83071758690568,254.99999999999997],[222.46696552113752,213.5730344480282,0]]","null","[256,346,76,166]","114","25","","","[874,1396]"
"","confidence-wheel","20","9635","0.0-20.0","Daz2026_Encoding_Online_SubExp2","Context Effect Hypothesis","9726","","920","1470","false","false","0","","","","retention_interval","4","Baseline","Baseline","4","3","50","false","null","null","4","null","null","null","0","[]","[]","null","[]","[]","[]","[]","[]","[false]","[false]","[false]","[false]","[]","[]","null","[28,158,316,108]","[[254.99999999999997,132.8177125449908,115.46407504635546],[0,248.2589375494372,144.88826238820684],[254.99999999999997,150.83071758690568,254.99999999999997],[222.46696552113752,213.5730344480282,0]]","null","[256,346,76,166]","114","25","","","[874,1396]"
